#Frame       d_CD-CBM        Rg_CD       Rg_CBM    Rg_Global
       1      53.1398      21.5085      12.5124      28.6292
       2      53.0967      21.4562      12.4608      28.5803
       3      52.8398      21.5740      12.4736      28.5836
       4      52.7215      21.5129      12.4407      28.5156
       5      53.1795      21.4848      12.5129      28.6217
       6      53.3219      21.4818      12.5010      28.6579
       7      53.3510      21.4537      12.5330      28.6501
       8      53.2025      21.6636      12.4903      28.7347
       9      53.2405      21.5885      12.4928      28.7070
      10      52.6661      21.5402      12.5682      28.5269
      11      52.7789      21.5999      12.5407      28.5931
      12      52.3044      21.6036      12.5273      28.4697
      13      51.7593      21.5892      12.5291      28.3163
      14      51.7099      21.5616      12.5055      28.2883
      15      52.2866      21.5345      12.5414      28.4253
      16      52.1294      21.6066      12.5154      28.4242
      17      51.9683      21.5849      12.4872      28.3647
      18      51.9052      21.5982      12.5320      28.3615
      19      52.1741      21.5949      12.5218      28.4244
      20      52.5073      21.5412      12.5957      28.4877
      21      52.1011      21.5381      12.4715      28.3652
      22      52.8000      21.5076      12.5516      28.5394
      23      52.3695      21.5515      12.4643      28.4431
      24      52.2300      21.5153      12.4944      28.3836
      25      51.9862      21.5275      12.4980      28.3319
      26      51.5239      21.5179      12.3903      28.1995
      27      51.6340      21.5726      12.4661      28.2635
      28      51.6262      21.5959      12.5274      28.2837
      29      52.1984      21.4899      12.5225      28.3646
      30      51.5725      21.6345      12.5447      28.2979
      31      51.2360      21.5655      12.4549      28.1602
      32      50.9635      21.5218      12.4733      28.0606
      33      51.0669      21.5239      12.4063      28.0785
      34      51.7192      21.5651      12.4246      28.2722
      35      51.5873      21.5162      12.5269      28.2176
      36      51.6352      21.5458      12.4671      28.2435
      37      52.0312      21.4845      12.4806      28.3095
      38      52.1664      21.5383      12.5348      28.3863
      39      51.5977      21.4617      12.4758      28.1848
      40      51.2451      21.4676      12.4506      28.0884
      41      51.3895      21.5385      12.4173      28.1750
      42      51.4824      21.4820      12.4547      28.1635
      43      51.0015      21.5328      12.4618      28.0674
      44      50.9948      21.5289      12.5508      28.0787
      45      49.8690      21.4575      12.4284      27.7296
      46      50.2673      21.6046      12.5078      27.9346
      47      50.2834      21.5987      12.5160      27.9314
      48      50.0165      21.5771      12.5365      27.8454
      49      50.1629      21.5371      12.5910      27.8692
      50      50.0273      21.4758      12.4830      27.7853
      51      50.2195      21.5914      12.5227      27.9091
      52      50.1831      21.5796      12.5255      27.8970
      53      50.8529      21.6124      12.4973      28.0849
      54      50.8050      21.5867      12.5803      28.0616
      55      51.3639      21.5646      12.5120      28.1886
      56      50.6825      21.6235      12.4898      28.0442
      57      51.4783      21.6276      12.4939      28.2533
      58      51.7261      21.6719      12.4295      28.3408
      59      51.9552      21.6373      12.5068      28.3854
      60      52.2029      21.6464      12.5075      28.4594
      61      52.0195      21.6413      12.4679      28.4013
      62      51.1496      21.6592      12.4516      28.1789
      63      50.8295      21.6315      12.5139      28.0854
      64      51.2963      21.6143      12.4757      28.1937
      65      51.9550      21.6652      12.4887      28.3924
      66      52.1727      21.6224      12.4651      28.4285
      67      52.3419      21.6317      12.5355      28.4885
      68      52.4422      21.6314      12.4526      28.5023
      69      52.2252      21.8123      12.4805      28.5608
      70      52.2276      21.7013      12.5230      28.4916
      71      51.3988      21.6928      12.5077      28.2739
      72      51.0214      21.6008      12.4822      28.1144
      73      51.1281      21.7200      12.4626      28.2202
      74      50.9936      21.6475      12.4345      28.1294
      75      51.8766      21.6080      12.5270      28.3475
      76      51.9196      21.7112      12.6201      28.4292
      77      51.4693      21.6509      12.5879      28.2707
      78      52.2056      21.7412      12.4865      28.5155
      79      51.2514      21.6422      12.4961      28.2018
      80      51.3837      21.6319      12.5067      28.2326
      81      51.4695      21.6366      12.4565      28.2552
      82      51.5537      21.6653      12.5424      28.2995
      83      51.7828      21.6263      12.5273      28.3401
      84      51.2241      21.5301      12.5567      28.1288
      85      50.9200      21.5976      12.4174      28.0786
      86      51.4946      21.5572      12.4310      28.2120
      87      51.8872      21.6366      12.5207      28.3710
      88      51.3412      21.6034      12.4929      28.2042
      89      51.0125      21.6210      12.5156      28.1301
      90      50.4359      21.5981      12.5065      27.9621
      91      50.6072      21.6523      12.4554      28.0424
      92      50.6361      21.5945      12.5364      28.0178
      93      50.1340      21.6039      12.5001      27.8869
      94      49.8078      21.5810      12.4907      27.7867
      95      49.4390      21.5375      12.4323      27.6631
      96      49.6331      21.6558      12.5022      27.7960
      97      49.4413      21.5935      12.4742      27.7023
      98      49.3267      21.6376      12.4187      27.7051
      99      49.4744      21.5641      12.4361      27.6979
     100      50.1717      21.6244      12.5154      27.9235
     101      49.4334      21.5971      12.4011      27.7073
     102      49.2041      21.6163      12.4138      27.6588
     103      49.7241      21.6191      12.4755      27.8102
     104      50.0173      21.7201      12.4636      27.9522
     105      49.6964      21.6987      12.4649      27.8427
     106      50.5180      21.5708      12.4959      27.9696
     107      50.6385      21.6075      12.5015      28.0263
     108      49.9971      21.6398      12.5184      27.8771
     109      50.3342      21.5335      12.4377      27.8981
     110      49.7545      21.5456      12.5674      27.7628
     111      49.5265      21.5605      12.5113      27.7145
     112      49.2567      21.6114      12.5262      27.6727
     113      49.3500      21.6130      12.4713      27.7018
     114      48.9431      21.6256      12.4788      27.6042
     115      48.3954      21.5149      12.4786      27.3890
     116      48.9256      21.6293      12.4734      27.5973
     117      48.7491      21.5755      12.4447      27.5118
     118      48.0096      21.5072      12.5007      27.2885
     119      47.9559      21.5842      12.4763      27.3215
     120      48.5650      21.5862      12.4357      27.4774
     121      48.1371      21.5982      12.5362      27.3836
     122      47.9930      21.6540      12.4650      27.3808
     123      48.0770      21.6349      12.5606      27.3933
     124      48.3572      21.6408      12.4383      27.4585
     125      48.4422      21.6567      12.4157      27.4866
     126      47.9936      21.5711      12.4293      27.3210
     127      47.6364      21.6519      12.4075      27.2861
     128      48.0599      21.6806      12.3641      27.4031
     129      48.4862      21.5673      12.5289      27.4527
     130      48.8835      21.7272      12.5444      27.6517
     131      49.3227      21.6845      12.5208      27.7333
     132      48.3221      21.7018      12.4798      27.4904
     133      47.2898      21.6012      12.4804      27.1624
     134      47.9776      21.6792      12.5792      27.3973
     135      47.9783      21.6848      12.4519      27.3883
     136      47.8383      21.6335      12.6260      27.3389
     137      48.1452      21.6060      12.5208      27.3919
     138      47.3462      21.6444      12.5334      27.2139
     139      47.8017      21.6262      12.4363      27.3065
     140      48.1664      21.6286      12.4893      27.4047
     141      48.5667      21.6662      12.5524      27.5344
     142      48.3137      21.6562      12.5238      27.4631
     143      48.4522      21.6446      12.5537      27.4942
     144      48.7945      21.5899      12.4438      27.5327
     145      48.6131      21.7254      12.4562      27.5741
     146      48.7154      21.7441      12.5623      27.6231
     147      48.7216      21.7048      12.5031      27.5955
     148      48.1404      21.6627      12.4673      27.4125
     149      47.6568      21.6750      12.4756      27.3059
     150      48.1318      21.6567      12.4480      27.4094
     151      48.5478      21.6243      12.4334      27.4944
     152      48.6747      21.6691      12.4921      27.5631
     153      48.4196      21.6527      12.4716      27.4889
     154      48.5828      21.6559      12.4359      27.5305
     155      48.3479      21.6441      12.4907      27.4685
     156      48.2693      21.7611      12.4480      27.5200
     157      48.9541      21.7397      12.4831      27.6803
     158      49.4608      21.7323      12.4135      27.7988
     159      49.7760      21.7737      12.4322      27.9103
     160      50.1388      21.6937      12.3655      27.9483
     161      50.6306      21.7933      12.4997      28.1532
     162      51.2158      21.6734      12.5708      28.2338
     163      50.3781      21.6025      12.4965      27.9634
     164      50.6388      21.7243      12.5058      28.1118
     165      50.4582      21.7354      12.4901      28.0654
     166      50.3325      21.6169      12.5321      27.9518
     167      50.0385      21.6551      12.5786      27.9105
     168      50.4477      21.5961      12.4803      27.9788
     169      50.9224      21.6304      12.6599      28.1338
     170      49.8187      21.6758      12.5923      27.8712
     171      49.8645      21.6305      12.4872      27.8465
     172      50.5128      21.6230      12.5512      28.0144
     173      50.3242      21.6055      12.6099      27.9529
     174      50.9917      21.6327      12.5517      28.1473
     175      51.0530      21.6160      12.5069      28.1445
     176      50.5722      21.5707      12.4827      27.9885
     177      50.8470      21.6524      12.4408      28.1180
     178      51.1217      21.5215      12.4021      28.0968
     179      50.6834      21.6161      12.5411      28.0549
     180      51.0368      21.6272      12.5038      28.1548
     181      50.2616      21.5293      12.5838      27.8935
     182      49.3573      21.5259      12.5179      27.6411
     183      49.3323      21.6032      12.5908      27.6912
     184      49.6956      21.6222      12.6034      27.7991
     185      49.9463      21.5880      12.5236      27.8370
     186      50.6292      21.6765      12.5142      28.0767
     187      50.1052      21.6644      12.5802      27.9328
     188      50.4465      21.7370      12.5179      28.0628
     189      50.5952      21.6302      12.5024      28.0269
     190      51.1021      21.6570      12.5691      28.1801
     191      51.0528      21.6662      12.5573      28.1762
     192      50.7625      21.5620      12.5505      28.0335
     193      51.5367      21.6219      12.5669      28.2781
     194      51.8017      21.6224      12.5262      28.3474
     195      51.3949      21.6603      12.5596      28.2665
     196      51.8341      21.6283      12.5099      28.3601
     197      51.8626      21.6720      12.5340      28.3925
     198      51.4674      21.7057      12.6039      28.3118
     199      51.1747      21.6512      12.4941      28.1920
     200      50.8617      21.6488      12.4615      28.1175
     201      51.3231      21.6705      12.4869      28.2505
     202      51.2901      21.7379      12.4721      28.2811
     203      51.1433      21.6449      12.5549      28.1922
     204      51.1666      21.7165      12.5049      28.2418
     205      51.6631      21.6421      12.4447      28.3164
     206      51.9714      21.6387      12.4239      28.3922
     207      52.1436      21.6305      12.4310      28.4289
     208      51.6955      21.6384      12.4820      28.3167
     209      51.9072      21.5675      12.4760      28.3340
     210      52.4225      21.6319      12.4881      28.5124
     211      51.4339      21.6030      12.5853      28.2342
     212      52.1848      21.6645      12.4397      28.4568
     213      51.9914      21.7148      12.5036      28.4534
     214      52.0339      21.6592      12.4458      28.4251
     215      51.3639      21.6361      12.4622      28.2373
     216      50.4849      21.7201      12.4085      28.0626
     217      51.0556      21.6738      12.4875      28.1879
     218      51.3837      21.7231      12.4921      28.3030
     219      51.7755      21.7206      12.5075      28.4074
     220      51.0783      21.6073      12.5621      28.1535
     221      51.4427      21.6679      12.5144      28.2860
     222      51.4440      21.6820      12.4579      28.2912
     223      50.8115      21.6910      12.5172      28.1303
     224      50.7255      21.6671      12.4725      28.0879
     225      50.9970      21.6961      12.4208      28.1765
     226      50.8794      21.6949      12.5065      28.1520
     227      50.7744      21.6148      12.4171      28.0667
     228      50.5156      21.6873      12.4032      28.0512
     229      49.9837      21.5952      12.4387      27.8486
     230      50.1236      21.5336      12.4870      27.8562
     231      50.4663      21.5482      12.4768      27.9482
     232      50.2368      21.6729      12.4739      27.9688
     233      50.7477      21.7053      12.3875      28.1179
     234      50.3753      21.6259      12.4582      27.9711
     235      50.5272      21.6178      12.4777      28.0088
     236      50.7356      21.6984      12.5008      28.1173
     237      50.2826      21.6240      12.5279      27.9462
     238      50.8027      21.7461      12.4969      28.1648
     239      49.8921      21.6482      12.4126      27.8579
     240      49.8746      21.6394      12.5062      27.8557
     241      49.1834      21.6695      12.4561      27.6950
     242      48.8095      21.7000      12.4446      27.6194
     243      49.1709      21.6912      12.4537      27.7056
     244      48.9339      21.6761      12.5217      27.6430
     245      48.2768      21.5618      12.5113      27.3959
     246      48.7247      21.6959      12.3681      27.5909
     247      48.4367      21.7619      12.5145      27.5706
     248      48.4706      21.6935      12.4537      27.5304
     249      48.5564      21.7423      12.4299      27.5835
     250      48.2431      21.7177      12.5034      27.4906
     251      48.4658      21.7486      12.5027      27.5638
     252      48.6856      21.7358      12.5531      27.6270
     253      49.2263      21.6321      12.4781      27.6851
     254      49.6773      21.7711      12.5611      27.8994
     255      49.9750      21.7613      12.5137      27.9644
     256      49.8444      21.7203      12.4573      27.9026
     257      48.8183      21.7280      12.4742      27.6453
     258      48.7867      21.7460      12.4861      27.6523
     259      49.6256      21.7332      12.5141      27.8540
     260      48.1354      21.7560      12.4631      27.4868
     261      48.2902      21.7680      12.4669      27.5380
     262      48.1159      21.7338      12.4614      27.4672
     263      48.7709      21.7272      12.4321      27.6273
     264      49.2217      21.7794      12.5386      27.7855
     265      49.6972      21.7635      12.4465      27.8926
     266      49.2184      21.7527      12.5268      27.7597
     267      49.7972      21.8071      12.5025      27.9443
     268      49.7351      21.6735      12.4798      27.8385
     269      50.2812      21.8169      12.5468      28.0812
     270      50.4703      21.7695      12.5226      28.0955
     271      49.9637      21.6841      12.3893      27.8956
     272      50.3561      21.7861      12.4727      28.0644
     273      50.8632      21.8179      12.4614      28.2213
     274      50.6207      21.7830      12.5437      28.1404
     275      50.2080      21.7186      12.5500      28.0045
     276      50.5757      21.7577      12.4679      28.1116
     277      50.4351      21.7186      12.4860      28.0535
     278      50.7355      21.7329      12.5039      28.1363
     279      50.4743      21.6473      12.5378      28.0186
     280      50.6141      21.7398      12.5662      28.1103
     281      50.2587      21.6691      12.4871      27.9695
     282      50.6586      21.6504      12.4910      28.0626
     283      50.7974      21.6961      12.4919      28.1295
     284      50.4990      21.7837      12.5717      28.1183
     285      50.8767      21.7257      12.4998      28.1694
     286      50.8949      21.6562      12.4630      28.1324
     287      51.1781      21.7001      12.5091      28.2312
     288      51.4618      21.7327      12.4850      28.3306
     289      51.0776      21.7770      12.4260      28.2507
     290      51.0609      21.7899      12.4603      28.2561
     291      50.7869      21.7827      12.5034      28.1840
     292      50.9086      21.6773      12.5350      28.1483
     293      51.0743      21.7408      12.5735      28.2391
     294      51.0735      21.7875      12.5431      28.2634
     295      51.5766      21.7809      12.5425      28.3949
     296      51.6514      21.6882      12.5224      28.3496
     297      51.6535      21.6258      12.5199      28.3081
     298      52.1200      21.6772      12.5176      28.4639
     299      51.8770      21.7606      12.5613      28.4554
     300      52.2345      21.7930      12.5259      28.5707
     301      51.8653      21.7737      12.5065      28.4550
     302      51.7850      21.7753      12.5276      28.4450
     303      51.5315      21.8000      12.5574      28.3956
     304      51.7936      21.8229      12.5359      28.4751
     305      51.7734      21.8065      12.5386      28.4562
     306      50.8230      21.8131      12.5840      28.2186
     307      51.3337      21.7589      12.5436      28.3125
     308      50.9586      21.7801      12.4941      28.2234
     309      51.5589      21.7499      12.4335      28.3551
     310      52.1445      21.7361      12.4808      28.5042
     311      52.6112      21.7193      12.5395      28.6182
     312      52.3902      21.8021      12.5027      28.6097
     313      52.6316      21.6825      12.5365      28.6000
     314      52.1897      21.7833      12.5772      28.5518
     315      51.2719      21.7151      12.6108      28.2694
     316      51.8810      21.8076      12.5097      28.4792
     317      51.7857      21.7795      12.5108      28.4403
     318      51.4004      21.7890      12.4458      28.3370
     319      50.6919      21.8133      12.4747      28.1741
     320      50.8650      21.8435      12.4258      28.2306
     321      51.5675      21.7950      12.4365      28.3888
     322      51.3095      21.7363      12.3955      28.2758
     323      51.4213      21.7616      12.3915      28.3238
     324      50.9563      21.7526      12.5115      28.2101
     325      51.0723      21.8188      12.4372      28.2759
     326      50.8816      21.8067      12.5001      28.2246
     327      50.4763      21.7991      12.4808      28.1119
     328      50.6082      21.7773      12.4174      28.1321
     329      50.2129      21.7863      12.5773      28.0422
     330      49.9852      21.7368      12.4275      27.9438
     331      50.0600      21.8018      12.5223      28.0121
     332      50.3832      21.7921      12.5597      28.0900
     333      50.0611      21.7621      12.5022      27.9890
     334      49.9043      21.8447      12.5129      28.0006
     335      49.4745      21.6919      12.5399      27.7892
     336      49.6738      21.7122      12.5074      27.8496
     337      49.3533      21.6805      12.5475      27.7557
     338      49.0402      21.7234      12.5812      27.7078
     339      49.7204      21.7726      12.5753      27.9129
     340      49.9581      21.6561      12.5551      27.8943
     341      49.8723      21.7093      12.6165      27.9082
     342      50.6694      21.6761      12.5638      28.0868
     343      51.6358      21.7142      12.5403      28.3631
     344      51.2199      21.6950      12.4945      28.2347
     345      52.3134      21.7315      12.5623      28.5540
     346      51.8847      21.6868      12.5267      28.3992
     347      51.7498      21.7457      12.6027      28.4131
     348      51.9294      21.6859      12.5648      28.4226
     349      51.3731      21.6805      12.5176      28.2666
     350      51.7739      21.7344      12.4301      28.4124
     351      51.3955      21.8205      12.4470      28.3649
     352      51.3455      21.7448      12.4547      28.3019
     353      51.2143      21.7055      12.4044      28.2390
     354      50.6916      21.6438      12.4683      28.0651
     355      50.5034      21.7345      12.5458      28.0835
     356      50.1829      21.6526      12.4950      27.9506
     357      50.3940      21.6053      12.4774      27.9697
     358      50.2705      21.6545      12.4908      27.9737
     359      50.6250      21.7209      12.4503      28.1030
     360      50.2155      21.6944      12.4915      27.9778
     361      50.2187      21.7650      12.5233      28.0340
     362      49.9581      21.7930      12.4564      27.9763
     363      50.0497      21.7639      12.4632      27.9810
     364      50.2545      21.7370      12.5490      28.0291
     365      50.6935      21.6295      12.4764      28.0625
     366      50.9895      21.6102      12.5247      28.1323
     367      50.2497      21.6274      12.4365      27.9369
     368      50.0597      21.6823      12.4770      27.9292
     369      50.2345      21.7270      12.5132      28.0113
     370      50.3439      21.7848      12.5375      28.0799
     371      50.0288      21.6043      12.5758      27.8799
     372      50.7748      21.7259      12.5509      28.1484
     373      50.8693      21.7162      12.4835      28.1593
     374      49.9187      21.6842      12.4801      27.8918
     375      50.3055      21.7125      12.4756      28.0159
     376      50.4254      21.6294      12.4774      27.9927
     377      50.2461      21.6746      12.5701      27.9828
     378      50.3900      21.6874      12.5406      28.0203
     379      50.3023      21.6820      12.5679      28.0044
     380      50.3921      21.6998      12.5025      28.0273
     381      50.5280      21.6904      12.4503      28.0570
     382      50.0939      21.7103      12.4894      27.9594
     383      49.9778      21.6539      12.5411      27.8940
     384      50.4601      21.7544      12.4989      28.0837
     385      50.3925      21.7604      12.5268      28.0675
     386      50.2441      21.7998      12.6043      28.0720
     387      49.7811      21.6927      12.5406      27.8782
     388      49.7860      21.7831      12.5576      27.9368
     389      49.6302      21.8044      12.5505      27.9083
     390      49.5869      21.8043      12.5029      27.9039
     391      50.1544      21.8084      12.6001      28.0515
     392      50.4332      21.7482      12.5460      28.0843
     393      50.6299      21.7546      12.5786      28.1323
     394      50.7450      21.6309      12.5822      28.0840
     395      50.2527      21.7258      12.5854      28.0150
     396      50.5550      21.7833      12.5848      28.1353
     397      50.4629      21.8215      12.5548      28.1360
     398      49.8338      21.7984      12.5690      27.9604
     399      49.4123      21.7968      12.5344      27.8487
     400      48.6842      21.7430      12.5697      27.6318
     401      50.0243      21.6944      12.4780      27.9366
     402      49.5669      21.7861      12.4871      27.8752
     403      49.4178      21.8118      12.4991      27.8545
     404      49.2622      21.8487      12.5660      27.8489
     405      49.1442      21.8228      12.5256      27.7931
     406      49.0252      21.7545      12.4558      27.7157
     407      49.2987      21.7520      12.5408      27.7892
     408      49.4168      21.7780      12.5115      27.8337
     409      48.5285      21.6803      12.5457      27.5467
     410      48.6679      21.6695      12.4011      27.5634
     411      48.7119      21.6889      12.5868      27.5999
     412      48.7996      21.7349      12.4758      27.6447
     413      49.1103      21.8029      12.4593      27.7646
     414      49.1399      21.7614      12.4898      27.7526
     415      48.9724      21.7318      12.4777      27.6815
     416      49.1755      21.6825      12.5470      27.7072
     417      49.6617      21.7605      12.4998      27.8770
     418      50.2829      21.8114      12.5384      28.0764
     419      50.6803      21.7336      12.5241      28.1286
     420      49.8213      21.7995      12.5097      27.9512
     421      49.8185      21.7845      12.5121      27.9385
     422      49.7208      21.7655      12.5668      27.9067
     423      49.9007      21.7479      12.4732      27.9301
     424      50.2456      21.7560      12.5241      28.0292
     425      50.4793      21.7809      12.4820      28.1045
     426      50.1253      21.7799      12.5323      28.0193
     427      49.9116      21.7502      12.5727      27.9522
     428      50.3048      21.7279      12.4828      28.0272
     429      50.0028      21.7644      12.5304      27.9735
     430      48.5765      21.7863      12.4676      27.6206
     431      48.7325      21.7270      12.4478      27.6220
     432      49.0982      21.8124      12.4655      27.7698
     433      49.0580      21.8496      12.5371      27.7876
     434      49.5434      21.8404      12.5535      27.9090
     435      49.4622      21.8207      12.5664      27.8717
