#Frame       d_CD-CBM        Rg_CD       Rg_CBM    Rg_Global
       1      32.7296      21.8991      12.5186      24.4226
       2      32.3722      21.8928      12.4900      24.3430
       3      32.8152      21.8760      12.4957      24.4425
       4      32.7327      21.9169      12.5489      24.4548
       5      32.9149      21.9358      12.5331      24.4893
       6      32.5876      21.9737      12.5666      24.4688
       7      32.9067      21.9271      12.4538      24.4855
       8      32.5269      21.9137      12.5278      24.3896
       9      32.5196      21.8328      12.5761      24.3228
      10      32.7803      21.8577      12.5717      24.4250
      11      33.0961      21.9827      12.5979      24.5894
      12      33.1234      21.9204      12.6164      24.5512
      13      32.7538      21.9705      12.5709      24.5132
      14      32.4717      21.9980      12.5596      24.4704
      15      32.9673      22.0021      12.5388      24.5716
      16      32.6956      22.0365      12.6075      24.5428
      17      32.3645      21.9952      12.5176      24.4473
      18      32.6372      21.9442      12.5947      24.4623
      19      32.5679      21.8936      12.6395      24.4265
      20      31.8965      21.9086      12.5283      24.2858
      21      31.8410      21.9199      12.5818      24.2879
      22      32.1807      21.8911      12.5453      24.3419
      23      32.4860      21.9127      12.4979      24.3973
      24      32.4638      21.9276      12.5689      24.4463
      25      32.5110      21.9364      12.5676      24.4286
      26      32.3616      21.8834      12.5689      24.3388
      27      32.4914      21.8983      12.4774      24.3559
      28      32.5307      21.9815      12.4585      24.4253
      29      32.3686      21.8413      12.5017      24.2842
      30      32.5350      21.9249      12.4692      24.3756
      31      32.3878      21.9147      12.4886      24.3498
      32      32.3703      21.9599      12.4529      24.3523
      33      32.2434      21.8887      12.4899      24.2908
      34      32.4537      22.0165      12.5342      24.4516
      35      32.3036      21.9451      12.5149      24.3634
      36      32.3267      21.8884      12.4803      24.3365
      37      32.1712      21.9373      12.4160      24.3088
      38      32.2816      21.8914      12.4703      24.3117
      39      32.3435      21.8948      12.4599      24.2989
      40      32.0468      21.9840      12.4594      24.3030
      41      31.7449      21.8440      12.4834      24.1452
      42      32.0168      21.9793      12.4603      24.2845
      43      31.8402      22.0064      12.4365      24.2938
      44      32.0830      21.8773      12.4712      24.2248
      45      31.8345      21.9173      12.4482      24.2060
      46      32.0732      21.9306      12.4474      24.2757
      47      31.8264      21.9254      12.5049      24.2309
      48      31.9789      22.0094      12.4501      24.3205
      49      32.2371      21.9546      12.4178      24.3359
      50      32.1664      21.8543      12.5178      24.2584
      51      31.9906      21.9428      12.4796      24.2747
      52      31.9512      21.9459      12.4853      24.3109
      53      32.5352      21.8935      12.4843      24.3529
      54      32.1838      21.8629      12.4917      24.2802
      55      32.2967      21.8756      12.4422      24.3071
      56      32.3178      21.9401      12.5204      24.3738
      57      32.1021      21.9612      12.5014      24.3518
      58      32.3035      21.9347      12.5125      24.3596
      59      32.4978      21.9085      12.5131      24.3653
      60      32.4429      21.9485      12.4600      24.3950
      61      32.2097      21.9457      12.4192      24.2981
      62      32.7568      21.9935      12.5050      24.4443
      63      32.6524      21.9420      12.4193      24.3774
      64      32.9902      21.9024      12.4897      24.4374
      65      32.7640      21.9299      12.4942      24.4355
      66      32.7881      21.8481      12.5019      24.3579
      67      32.6547      21.9029      12.4903      24.3748
      68      32.4436      21.9729      12.5141      24.3771
      69      32.8684      21.9245      12.5506      24.4324
      70      32.8696      21.9387      12.5277      24.4399
      71      32.6515      21.9504      12.4695      24.3963
      72      32.3722      21.8926      12.4527      24.2832
      73      32.3433      21.8884      12.5023      24.3071
      74      32.2038      21.9739      12.5431      24.3620
      75      32.0431      21.9119      12.5166      24.3035
      76      32.3843      21.8600      12.4197      24.2825
      77      32.2632      21.9212      12.5748      24.3238
      78      32.6568      21.9785      12.4662      24.4257
      79      32.6835      21.8879      12.4254      24.3894
      80      32.6308      21.9562      12.5207      24.4437
      81      32.7850      21.9793      12.4774      24.4794
      82      32.7940      21.9779      12.5449      24.4992
      83      32.7330      21.9440      12.4759      24.4539
      84      32.8882      21.9493      12.5417      24.5014
      85      32.3438      21.9330      12.5528      24.3763
      86      32.6920      21.9297      12.5187      24.4263
      87      32.3615      21.9562      12.5144      24.3837
      88      32.1678      21.9467      12.5064      24.3590
      89      32.3352      21.8561      12.5438      24.3000
      90      32.4691      21.9076      12.5405      24.3706
      91      32.2365      21.9128      12.5826      24.3464
      92      32.0967      21.8380      12.5153      24.2388
      93      32.0422      21.8191      12.4949      24.2217
      94      31.8895      21.8242      12.4925      24.2165
      95      32.0162      21.8207      12.5521      24.2282
      96      31.8825      21.9072      12.4630      24.2480
      97      32.4012      21.9267      12.4988      24.3755
      98      32.1645      21.8658      12.4994      24.2932
      99      31.9772      21.9403      12.5836      24.3082
     100      32.1156      21.8488      12.5297      24.2576
     101      32.0835      21.8443      12.4902      24.2235
     102      32.0053      21.8828      12.4963      24.2283
     103      31.9421      21.8495      12.5174      24.2109
     104      31.7849      21.8456      12.5570      24.1989
     105      32.0046      21.8751      12.5259      24.2644
     106      31.8182      21.8991      12.5152      24.2453
     107      32.2925      21.8667      12.5157      24.3060
     108      32.3270      21.9459      12.6316      24.3591
     109      32.0513      21.9287      12.4921      24.2968
     110      32.0606      21.9575      12.6087      24.3071
     111      31.9899      21.9903      12.4557      24.3136
     112      31.9533      21.9037      12.4310      24.2567
     113      31.9872      21.9845      12.5436      24.3361
     114      31.8999      21.9837      12.5238      24.2923
     115      31.9155      21.8515      12.4357      24.1869
     116      32.0959      21.8819      12.4808      24.2664
     117      32.0580      21.9067      12.4736      24.2604
     118      31.9653      21.9776      12.4790      24.3049
     119      32.2956      21.9193      12.5052      24.3357
     120      31.8749      21.8468      12.5127      24.1941
     121      31.9880      21.9284      12.4818      24.2676
     122      31.8910      21.9262      12.4805      24.2595
     123      32.4605      21.9735      12.4765      24.3950
     124      32.2116      21.9322      12.5491      24.3200
     125      32.3469      21.9899      12.4779      24.3910
     126      32.4185      21.9831      12.5259      24.3919
     127      32.2618      21.9202      12.4410      24.2916
     128      31.8263      21.8785      12.5665      24.2228
     129      32.2984      21.9291      12.5599      24.3445
     130      32.3198      21.8913      12.5017      24.3177
     131      32.0208      21.8267      12.5126      24.1956
     132      31.8948      21.8765      12.4438      24.1993
     133      31.9619      21.8819      12.4925      24.2255
     134      32.2336      21.8743      12.4796      24.2642
     135      32.2863      21.8373      12.5002      24.2493
     136      32.2466      21.8034      12.4995      24.2122
     137      32.0629      21.9608      12.5512      24.3268
     138      31.8368      21.8585      12.5514      24.1914
     139      31.8584      21.8773      12.5583      24.2019
     140      31.9403      21.9376      12.5179      24.2547
     141      32.0900      21.9394      12.4988      24.2922
     142      32.0068      21.8972      12.4796      24.2601
     143      32.3134      21.9560      12.5093      24.3473
     144      32.0630      21.9484      12.5242      24.2907
     145      32.1275      21.9518      12.5352      24.3253
     146      32.0485      21.9369      12.5093      24.2940
     147      32.3073      21.9731      12.4789      24.3665
     148      32.0612      21.8668      12.4428      24.2203
     149      32.2325      21.9173      12.5227      24.3026
     150      32.6663      21.9353      12.5099      24.3892
     151      32.3375      21.9114      12.5117      24.3281
     152      32.4327      21.8774      12.4936      24.3117
     153      32.0298      21.8785      12.4626      24.2199
     154      32.2371      21.8772      12.4402      24.2713
     155      31.9665      21.9167      12.5163      24.2627
     156      31.8173      21.9274      12.4580      24.2473
     157      31.8083      21.9257      12.5306      24.2433
     158      31.9525      21.9783      12.4851      24.2714
     159      32.0257      21.9971      12.5180      24.3168
     160      32.3134      21.8816      12.5060      24.2772
     161      32.1007      21.9450      12.5274      24.2845
     162      32.2792      21.9965      12.4458      24.3500
     163      32.1106      22.0743      12.5007      24.3890
     164      32.0285      22.0080      12.5255      24.3207
     165      32.1014      22.0536      12.5156      24.3599
     166      32.3558      21.9302      12.4784      24.3159
     167      32.5262      21.9634      12.5249      24.3837
     168      32.5281      21.9355      12.5446      24.3829
     169      32.1354      21.9268      12.5362      24.2983
     170      31.8938      21.9343      12.4387      24.2546
     171      31.9437      21.9098      12.5180      24.2345
     172      32.0867      21.9866      12.4591      24.3191
     173      32.3870      21.9071      12.5346      24.3425
     174      32.1899      21.9569      12.5346      24.3395
     175      31.8877      21.9997      12.5112      24.3072
     176      32.2664      21.9597      12.4389      24.3446
     177      32.6514      21.9624      12.4160      24.4220
     178      32.7897      22.0411      12.4046      24.4922
     179      32.5330      21.9680      12.4952      24.3794
     180      32.5159      21.9722      12.4568      24.3520
     181      32.3164      21.9600      12.4248      24.3087
     182      32.3653      21.9730      12.4403      24.3181
     183      32.4369      21.9981      12.4121      24.3478
     184      32.6652      21.9313      12.3747      24.3547
     185      32.7010      21.9871      12.4443      24.4249
     186      33.0078      21.9522      12.5088      24.4649
     187      32.5880      21.9521      12.4150      24.3786
     188      32.3700      21.9225      12.4633      24.3203
     189      32.2322      22.0285      12.4960      24.3711
     190      31.8742      21.9699      12.4650      24.2456
     191      31.9592      21.9651      12.3923      24.2822
     192      32.1162      21.9815      12.5029      24.3338
     193      32.2451      21.9058      12.5034      24.2961
     194      32.1387      21.9455      12.4920      24.3049
     195      31.9162      21.9559      12.5033      24.2606
     196      31.7868      21.9617      12.4849      24.2363
     197      31.9375      21.9500      12.4765      24.2404
     198      31.9676      21.9669      12.5030      24.2741
     199      31.7475      21.9425      12.4148      24.1950
     200      31.5838      21.9078      12.5042      24.1538
     201      31.6196      22.0483      12.4884      24.2611
     202      31.8711      21.9987      12.4548      24.2757
     203      31.9061      21.8944      12.5087      24.2168
     204      31.5906      21.9451      12.5216      24.1942
     205      31.5993      21.8240      12.5180      24.0995
     206      31.5128      21.9219      12.5513      24.1488
     207      31.8761      21.8866      12.4639      24.1729
     208      31.7267      21.9491      12.5058      24.2132
     209      32.0220      21.9143      12.4236      24.2451
     210      31.5047      21.9623      12.5567      24.2036
     211      31.8162      21.9348      12.5035      24.2276
     212      31.8018      21.9315      12.4748      24.2290
     213      31.7090      21.9066      12.4681      24.1983
     214      31.4014      21.8901      12.4769      24.1297
     215      31.4781      22.0141      12.4946      24.2064
     216      31.7810      21.8188      12.4455      24.1218
     217      31.7586      21.8855      12.4589      24.1626
     218      31.8206      21.8505      12.4524      24.1349
     219      31.8798      21.8834      12.4966      24.1958
     220      31.7325      21.8542      12.5386      24.1588
     221      31.7368      21.9255      12.4871      24.2053
     222      31.5380      21.8826      12.4938      24.1086
     223      31.8426      21.8440      12.4669      24.1636
     224      31.8450      21.9612      12.4500      24.2418
     225      31.9943      21.9176      12.5031      24.2455
