"","DSI"
"1",19.1189
"2",19.1797
"3",18.7922
"4",18.7679
"5",19.1818
"6",19.3391
"7",19.3643
"8",19.0486
"9",19.1592
"10",18.5577
"11",18.6383
"12",18.1735
"13",17.641
"14",17.6428
"15",18.2107
"16",18.0074
"17",17.8962
"18",17.775
"19",18.0574
"20",18.3704
"21",18.0915
"22",18.7408
"23",18.3537
"24",18.2203
"25",17.9607
"26",17.6157
"27",17.5953
"28",17.5029
"29",18.186
"30",17.3933
"31",17.2156
"32",16.9684
"33",17.1367
"34",17.7295
"35",17.5442
"36",17.6223
"37",18.0661
"38",18.0933
"39",17.6602
"40",17.3269
"41",17.4337
"42",17.5457
"43",17.0069
"44",16.9151
"45",15.9831
"46",16.1549
"47",16.1687
"48",15.9029
"49",16.0348
"50",16.0685
"51",16.1054
"52",16.078
"53",16.7432
"54",16.638
"55",17.2873
"56",16.5692
"57",17.3568
"58",17.6247
"59",17.8111
"60",18.049
"61",17.9103
"62",17.0388
"63",16.6841
"64",17.2063
"65",17.8011
"66",18.0852
"67",18.1747
"68",18.3582
"69",17.9324
"70",18.0033
"71",17.1983
"72",16.9384
"73",16.9455
"74",16.9116
"75",17.7416
"76",17.5883
"77",17.2305
"78",17.9779
"79",17.1131
"80",17.2451
"81",17.3764
"82",17.346
"83",17.6292
"84",17.1373
"85",16.905
"86",17.5064
"87",17.7299
"88",17.2449
"89",16.8759
"90",16.3313
"91",16.4995
"92",16.5052
"93",16.03
"94",15.7361
"95",15.4692
"96",15.4751
"97",15.3736
"98",15.2704
"99",15.4742
"100",16.0319
"101",15.4352
"102",15.174
"103",15.6295
"104",15.8336
"105",15.5328
"106",16.4513
"107",16.5295
"108",15.8389
"109",16.363
"110",15.6415
"111",15.4547
"112",15.1191
"113",15.2657
"114",14.8387
"115",14.4019
"116",14.8229
"117",14.7289
"118",14.0017
"119",13.8954
"120",14.5431
"121",14.0027
"122",13.874
"123",13.8815
"124",14.2781
"125",14.3698
"126",13.9932
"127",13.577
"128",14.0152
"129",14.39
"130",14.6119
"131",15.1174
"132",14.1405
"133",13.2082
"134",13.7192
"135",13.8416
"136",13.5788
"137",14.0184
"138",13.1684
"139",13.7392
"140",14.0485
"141",14.3481
"142",14.1337
"143",14.2539
"144",14.7608
"145",14.4315
"146",14.409
"147",14.5137
"148",14.0104
"149",13.5062
"150",14.0271
"151",14.4901
"152",14.5135
"153",14.2953
"154",14.491
"155",14.2131
"156",14.0602
"157",14.7313
"158",15.315
"159",15.5701
"160",16.0796
"161",16.3376
"162",16.9716
"163",16.2791
"164",16.4087
"165",16.2327
"166",16.1835
"167",15.8048
"168",16.3713
"169",16.6321
"170",15.5506
"171",15.7468
"172",16.3386
"173",16.1088
"174",16.8073
"175",16.9301
"176",16.5188
"177",16.7538
"178",17.1981
"179",16.5262
"180",16.9058
"181",16.1485
"182",15.3135
"183",15.1383
"184",15.47
"185",15.8347
"186",16.4385
"187",15.8606
"188",16.1916
"189",16.4626
"190",16.876
"191",16.8293
"192",16.65
"193",17.3479
"194",17.6531
"195",17.175
"196",17.6959
"197",17.6566
"198",17.1578
"199",17.0294
"200",16.7514
"201",17.1657
"202",17.0801
"203",16.9435
"204",16.9452
"205",17.5763
"206",17.9088
"207",18.0821
"208",17.5751
"209",17.8637
"210",18.3025
"211",17.2456
"212",18.0806
"213",17.773
"214",17.9289
"215",17.2656
"216",16.3563
"217",16.8943
"218",17.1685
"219",17.5474
"220",16.9089
"221",17.2604
"222",17.3041
"223",16.6033
"224",16.5859
"225",16.8801
"226",16.678
"227",16.7425
"228",16.4251
"229",15.9498
"230",16.103
"231",16.4413
"232",16.09
"233",16.6549
"234",16.2912
"235",16.4317
"236",16.5364
"237",16.1307
"238",16.5597
"239",15.8313
"240",15.729
"241",15.0578
"242",14.6649
"243",15.026
"244",14.7361
"245",14.2037
"246",14.6607
"247",14.1603
"248",14.3234
"249",14.3842
"250",14.022
"251",14.2145
"252",14.3967
"253",15.1161
"254",15.3451
"255",15.7
"256",15.6668
"257",14.6161
"258",14.5546
"259",15.3783
"260",13.9163
"261",14.0553
"262",13.9207
"263",14.6116
"264",14.9037
"265",15.4872
"266",14.9389
"267",15.4876
"268",15.5818
"269",15.9175
"270",16.1782
"271",15.8903
"272",16.0973
"273",16.5839
"274",16.294
"275",15.9394
"276",16.3501
"277",16.2305
"278",16.4987
"279",16.2892
"280",16.3081
"281",16.1025
"282",16.5172
"283",16.6094
"284",16.1436
"285",16.6512
"286",16.7757
"287",16.9689
"288",17.2441
"289",16.8746
"290",16.8107
"291",16.5008
"292",16.6963
"293",16.76
"294",16.7429
"295",17.2532
"296",17.4408
"297",17.5078
"298",17.9252
"299",17.5551
"300",17.9156
"301",17.5851
"302",17.4821
"303",17.1741
"304",17.4348
"305",17.4283
"306",16.4259
"307",17.0312
"308",16.6844
"309",17.3755
"310",17.9276
"311",18.3524
"312",18.0854
"313",18.4126
"314",17.8292
"315",16.946
"316",17.5637
"317",17.4954
"318",17.1656
"319",16.4039
"320",16.5957
"321",17.336
"322",17.1777
"323",17.2682
"324",16.6922
"325",16.8163
"326",16.5748
"327",16.1964
"328",16.4135
"329",15.8493
"330",15.8209
"331",15.7359
"332",16.0314
"333",15.7968
"334",15.5467
"335",15.2427
"336",15.4542
"337",15.1253
"338",14.7356
"339",15.3725
"340",15.7469
"341",15.5465
"342",16.4295
"343",17.3813
"344",17.0304
"345",18.0196
"346",17.6712
"347",17.4014
"348",17.6787
"349",17.175
"350",17.6094
"351",17.128
"352",17.146
"353",17.1044
"354",16.5795
"355",16.2231
"356",16.0353
"357",16.3113
"358",16.1252
"359",16.4538
"360",16.0296
"361",15.9304
"362",15.7087
"363",15.8226
"364",15.9685
"365",16.5876
"366",16.8546
"367",16.1858
"368",15.9004
"369",15.9943
"370",16.0216
"371",15.8487
"372",16.498
"373",16.6696
"374",15.7544
"375",16.1174
"376",16.3186
"377",16.0014
"378",16.162
"379",16.0524
"380",16.1898
"381",16.3873
"382",15.8942
"383",15.7828
"384",16.2068
"385",16.1053
"386",15.84
"387",15.5478
"388",15.4453
"389",15.2753
"390",15.2797
"391",15.7459
"392",16.139
"393",16.2967
"394",16.5319
"395",15.9415
"396",16.1869
"397",16.0866
"398",15.4664
"399",15.0811
"400",14.3715
"401",15.8519
"402",15.2937
"403",15.1069
"404",14.8475
"405",14.7958
"406",14.8149
"407",15.0059
"408",15.1273
"409",14.3025
"410",14.5973
"411",14.4362
"412",14.5889
"413",14.8481
"414",14.8887
"415",14.7629
"416",14.946
"417",15.4014
"418",15.9331
"419",16.4226
"420",15.5121
"421",15.5219
"422",15.3885
"423",15.6796
"424",15.9655
"425",16.2164
"426",15.8131
"427",15.5887
"428",16.0941
"429",15.708
"430",14.3226
"431",14.5577
"432",14.8203
"433",14.6713
"434",15.1495
"435",15.0751
"436",15.0012
"437",15.0349
"438",15.4306
"439",15.2993
"440",14.3557
"441",14.5112
"442",14.7979
"443",14.1119
"444",14.5828
"445",15.1431
"446",15.4251
"447",15.588
"448",15.2453
"449",16.017
"450",14.6191
"451",14.9391
"452",14.865
"453",14.5086
"454",15.5319
"455",15.279
"456",15.0927
"457",14.5193
"458",14.5274
"459",14.5169
"460",14.6523
"461",14.6648
"462",14.1667
"463",14.311
"464",14.5818
"465",13.9261
"466",14.2919
"467",14.3439
"468",14.9075
"469",14.6199
"470",14.1001
"471",14.0033
"472",14.8504
"473",15.4235
"474",15.6401
"475",16.1258
"476",15.8234
"477",15.6884
"478",15.648
"479",15.0603
"480",14.9531
"481",14.4491
"482",14.8184
"483",15.6265
"484",15.0404
"485",15.2394
"486",14.9149
"487",15.5105
"488",16.2154
"489",16.0108
"490",15.404
"491",15.3213
"492",15.2667
"493",15.4612
"494",15.0871
"495",15.4909
"496",15.6178
"497",15.736
"498",15.5519
"499",16.0782
"500",16.4862
"501",15.7417
"502",16.4763
"503",16.1033
"504",16.5215
"505",16.324
"506",15.7981
"507",16.0413
"508",15.643
"509",15.1328
"510",15.1751
"511",15.5951
"512",15.3099
"513",15.6048
"514",16.0398
"515",16.1989
"516",15.9337
"517",15.8069
"518",15.5313
"519",15.4078
"520",15.7516
"521",15.8862
"522",15.5897
"523",15.7204
"524",15.5028
"525",15.2551
"526",15.0854
"527",15.5799
"528",16.3502
"529",15.9791
"530",15.7407
"531",16.0858
"532",16.0725
"533",17.0603
"534",16.3122
"535",15.9905
"536",15.8129
"537",15.9783
"538",15.6309
"539",16.3467
"540",15.842
"541",15.3703
"542",15.56
"543",16.0512
"544",16.3115
"545",16.1866
"546",16.4405
"547",16.4743
"548",16.5221
"549",16.4411
"550",16.4974
"551",16.0766
"552",16.6145
"553",16.1867
"554",17.0703
"555",16.9656
"556",16.9523
"557",16.8288
"558",16.9331
"559",15.9609
"560",16.3949
"561",15.9265
"562",15.9545
"563",15.9403
"564",15.6492
"565",16.2487
"566",15.4642
"567",16.4262
"568",15.9741
"569",16.1121
"570",16.1411
"571",16.2526
"572",15.948
"573",16.1703
"574",16.256
"575",16.3895
"576",15.6089
"577",16.2991
"578",16.6031
"579",15.8487
"580",16.1146
"581",16.4438
"582",17.0453
"583",16.4135
"584",15.9312
"585",15.9045
"586",15.846
"587",15.6784
"588",15.389
"589",15.0961
"590",15.1247
"591",15.1411
"592",15.7509
"593",15.9016
