"","d_CD-CBM","Rg_CD","Rg_CBM","Rg_Global"
"1",54.619,21.7482,12.5268,29.2421
"2",55.4868,21.8128,12.6341,29.5136
"3",55.2907,21.8008,12.6619,29.4405
"4",54.8702,21.8401,12.6515,29.3538
"5",54.6796,21.7333,12.6095,29.2363
"6",54.2963,21.7109,12.6328,29.1254
"7",55.0489,21.6645,12.5401,29.2947
"8",55.245,21.7218,12.5066,29.3813
"9",54.6882,21.6999,12.6299,29.2155
"10",55.3708,21.7261,12.6204,29.4179
"11",55.305,21.6734,12.6117,29.3592
"12",55.2489,21.6405,12.6706,29.3314
"13",54.8906,21.6235,12.5793,29.2086
"14",54.8872,21.6054,12.6101,29.2082
"15",55.2137,21.5621,12.593,29.2667
"16",55.1691,21.6617,12.6301,29.3304
"17",56.1791,21.7658,12.6503,29.6532
"18",55.9828,21.6292,12.6913,29.5272
"19",55.7275,21.6214,12.5595,29.4423
"20",55.8228,21.6554,12.6007,29.491
"21",56.2319,21.5744,12.7053,29.5497
"22",56.1154,21.6562,12.5474,29.5583
"23",55.8043,21.6032,12.5919,29.4489
"24",56.2046,21.5944,12.5864,29.5438
"25",56.7531,21.5848,12.6349,29.6935
"26",56.8223,21.5843,12.5554,29.6998
"27",55.8271,21.5692,12.5468,29.423
"28",56.5839,21.6668,12.577,29.6902
"29",56.4208,21.6774,12.609,29.6524
"30",56.92,21.7617,12.6681,29.8539
"31",55.8804,21.7171,12.6373,29.5373
"32",55.5884,21.608,12.6139,29.3854
"33",56.3947,21.6797,12.6682,29.6568
"34",56.5402,21.73,12.5671,29.7274
"35",56.1765,21.6818,12.5991,29.5972
"36",55.9428,21.6491,12.6605,29.5195
"37",56.862,21.7017,12.6157,29.7889
"38",56.9819,21.6767,12.5961,29.8174
"39",56.5361,21.7386,12.5956,29.7322
"40",56.7089,21.7139,12.6537,29.771
"41",55.8752,21.7391,12.5541,29.5352
"42",56.0058,21.6234,12.5815,29.5096
"43",56.5309,21.6498,12.6424,29.6763
"44",56.5203,21.5574,12.5765,29.6078
"45",56.7899,21.7261,12.6045,29.7951
"46",57.1768,21.7132,12.5953,29.8838
"47",57.0944,21.678,12.5172,29.8323
"48",57.5856,21.7048,12.6077,29.9741
"49",57.3,21.6651,12.6429,29.8876
"50",56.7183,21.6431,12.5381,29.72
"51",56.6757,21.6358,12.6303,29.6877
"52",58.0722,21.639,12.5864,30.0689
"53",58.5353,21.637,12.5324,30.2018
"54",58.2759,21.6213,12.6997,30.1328
"55",57.3294,21.6975,12.592,29.9132
"56",57.3154,21.5885,12.5789,29.846
"57",57.1363,21.5982,12.6093,29.8032
"58",57.2569,21.7351,12.6053,29.916
"59",57.1232,21.6978,12.566,29.8541
"60",58.0001,21.5954,12.6424,30.057
"61",58.1083,21.7246,12.5847,30.1492
"62",57.7626,21.6438,12.5355,29.9898
"63",58.1518,21.621,12.5912,30.1023
"64",58.3721,21.7075,12.5874,30.2133
"65",58.5664,21.7166,12.5673,30.2538
"66",58.1846,21.6942,12.605,30.1327
