"","DSI"
"1",-1.4371
"2",-1.3425
"3",-1.9354
"4",-1.9852
"5",-2.0185
"6",-2.0521
"7",-1.8866
"8",-1.2707
"9",-1.24
"10",-1.0602
"11",-1.4567
"12",-1.5217
"13",-1.3794
"14",-1.6596
"15",-1.4951
"16",-1.5706
"17",-1.5609
"18",-0.9458
"19",-1.344
"20",-1.1765
"21",-1.1175
"22",-1.2442
"23",-0.9607
"24",-0.6716
"25",-0.9602
"26",-0.8256
"27",-0.9331
"28",-1.2172
"29",-0.7511
"30",-1.3052
"31",-1.4079
"32",-1.4909
"33",-1.7268
"34",-1.4172
"35",-1.6968
"36",-1.9935
"37",-1.5495
"38",-1.8866
"39",-1.6872
"40",-1.8239
"41",-2.1805
"42",-2.0705
"43",-2.0203
"44",-2.0189
"45",-1.8129
"46",-2.5413
"47",-2.3613
"48",-1.9557
"49",-2.1254
"50",-2.0508
"51",-1.9938
"52",-1.5822
"53",-1.7873
"54",-1.7364
"55",-1.8823
"56",-1.6385
"57",-1.7896
"58",-2.0895
"59",-1.7928
"60",-1.8579
"61",-1.9054
"62",-1.7507
"63",-1.8474
"64",-1.7685
"65",-1.5995
"66",-1.7599
"67",-1.3138
"68",-0.9268
"69",-1.4809
"70",-1.3675
"71",-1.3899
"72",-1.8559
"73",-2.0363
"74",-2.3964
"75",-2.0984
"76",-2.0313
"77",-1.9646
"78",-1.7199
"79",-1.7339
"80",-1.7949
"81",-1.9072
"82",-2.033
"83",-2.1327
"84",-2.367
"85",-2.1245
"86",-1.7089
"87",-1.9709
"88",-1.9905
"89",-1.6379
"90",-2.1987
"91",-1.7119
"92",-1.8681
"93",-1.7011
"94",-1.8244
"95",-1.539
"96",-1.3196
"97",-1.1652
"98",-1.4417
"99",-0.7826
"100",-0.8238
"101",-0.9514
"102",-1.2298
"103",-1.2358
"104",-1.2582
"105",-0.9729
"106",-1.4819
"107",-1.0575
"108",-1.2354
"109",-0.9761
"110",-1.0653
"111",-1.3773
"112",-1.6269
"113",-1.3623
"114",-1.2583
"115",-1.1695
"116",-1.7602
"117",-1.6513
"118",-1.3268
"119",-1.6209
"120",-1.3158
"121",-0.8193
"122",-1.2615
"123",-0.8917
"124",-1.3508
"125",-1.126
"126",-0.9221
"127",-1.0274
"128",-0.9858
"129",-0.7261
"130",-1.7034
"131",-1.7066
"132",-1.2929
"133",-1.0426
"134",-1.4359
"135",-1.126
"136",-1.571
"137",-1.4161
"138",-1.475
"139",-1.6066
"140",-1.2835
"141",-1.6208
"142",-1.6336
"143",-1.3572
"144",-1.1067
"145",-1.2251
"146",-1.499
"147",-1.8459
"148",-1.6142
"149",-1.5177
"150",-1.1725
"151",-1.1984
"152",-1.8677
"153",-1.4546
"154",-1.6806
"155",-1.6157
"156",-1.165
"157",-2.0523
"158",-2.0829
"159",-2.1174
"160",-2.0298
"161",-1.7738
"162",-1.8548
"163",-1.3652
"164",-1.7438
"165",-1.7721
"166",-1.5971
"167",-1.5034
"168",-2.3577
"169",-1.8879
"170",-1.4691
"171",-1.8822
"172",-1.4824
"173",-1.4779
"174",-2.0335
"175",-1.7303
"176",-1.5519
"177",-0.9731
"178",-1.1824
"179",-1.0084
"180",-1.1631
"181",-1.4572
"182",-0.9119
"183",-0.6504
"184",-0.7451
"185",-0.487
"186",-0.4619
"187",0.0844
"188",0.5084
"189",0.223
"190",0.2442
"191",0.0691
"192",-1.1951
"193",-0.8474
"194",-0.9834
"195",-1.2303
"196",-0.9727
"197",-0.6333
"198",-0.2488
"199",-0.7567
"200",-1.1553
"201",-1.1647
"202",-1.5036
"203",-1.4194
"204",-0.7323
"205",-1.2223
"206",-1.3682
"207",-1.3357
"208",-1.7662
"209",-1.5864
"210",-1.9826
"211",-2.0186
"212",-1.8106
"213",-1.6238
"214",-1.5708
"215",-1.8153
"216",-1.6544
"217",-2.049
"218",-2.1292
"219",-2.0087
"220",-1.9692
"221",-1.4059
"222",-1.8507
"223",-1.9848
"224",-1.6885
"225",-1.6516
"226",-1.8833
"227",-1.7881
"228",-1.6865
"229",-1.5926
"230",-1.7442
"231",-1.438
"232",-1.9147
"233",-1.9974
"234",-1.837
"235",-2.2769
"236",-2.5064
"237",-1.7521
"238",-2.3508
"239",-2.2139
"240",-2.2904
"241",-2.0402
"242",-2.038
"243",-1.7765
"244",-1.8004
"245",-1.6367
"246",-2.3011
"247",-2.1068
"248",-1.5853
"249",-2.2455
"250",-2.0507
"251",-1.8844
"252",-1.8355
"253",-2.1417
"254",-2.0796
"255",-1.9231
"256",-1.8583
"257",-2.057
"258",-1.9536
"259",-1.8305
"260",-1.6439
"261",-1.6897
"262",-2.1229
"263",-2.0253
"264",-2.037
"265",-1.9449
"266",-1.8603
"267",-2.1383
"268",-1.9796
"269",-1.8572
"270",-2.1895
"271",-1.9287
"272",-1.9553
"273",-1.9814
"274",-1.8023
"275",-1.8889
"276",-1.9956
"277",-2.3428
"278",-2.5713
"279",-2.4673
"280",-2.5094
"281",-2.5392
"282",-2.611
"283",-2.5907
"284",-2.5161
"285",-2.3122
"286",-2.3085
"287",-2.6036
"288",-2.9672
"289",-2.6152
"290",-2.4383
"291",-2.7686
"292",-2.4954
"293",-2.3507
"294",-2.5626
"295",-2.1262
"296",-2.324
"297",-2.0441
"298",-2.105
"299",-2.1726
"300",-2.3076
"301",-2.0852
"302",-2.5328
"303",-2.4326
"304",-2.4145
"305",-2.001
"306",-1.4645
"307",-2.2215
"308",-2.2942
"309",-2.4094
"310",-2.5736
"311",-2.1075
"312",-2.1517
"313",-2.2529
"314",-2.2965
"315",-2.4519
"316",-2.4365
"317",-2.4763
"318",-2.8444
"319",-2.439
"320",-2.7901
"321",-3.2108
"322",-3.2826
"323",-3.0272
"324",-3.3296
"325",-2.976
"326",-2.9378
"327",-2.8258
"328",-3.222
"329",-2.6536
"330",-2.712
"331",-2.9905
"332",-2.7336
"333",-2.796
"334",-2.629
"335",-2.8436
"336",-2.3504
"337",-2.5002
"338",-2.928
"339",-2.5014
"340",-2.9853
"341",-2.9011
"342",-2.9526
"343",-2.8918
"344",-2.6046
"345",-2.5079
"346",-2.2969
"347",-2.7239
"348",-2.7817
"349",-2.3943
"350",-2.6374
"351",-2.7354
"352",-2.9059
"353",-2.9515
"354",-2.6417
"355",-2.6927
"356",-2.5526
"357",-2.7975
"358",-2.8577
"359",-2.8542
"360",-2.9427
"361",-2.6385
"362",-2.9197
"363",-3.1355
"364",-2.9778
"365",-2.8026
"366",-2.3325
"367",-2.4051
"368",-2.3602
"369",-2.1592
"370",-2.3582
"371",-2.3367
"372",-2.2181
"373",-2.0065
"374",-2.0427
"375",-2.3196
"376",-2.2971
"377",-2.4867
"378",-2.6567
"379",-2.7139
"380",-2.9726
"381",-2.8295
"382",-2.6447
"383",-2.7711
"384",-2.7247
"385",-3.0545
"386",-3.0421
"387",-2.4418
"388",-2.5522
"389",-2.2985
"390",-2.4007
"391",-2.3379
"392",-2.4174
"393",-1.9879
"394",-2.5036
"395",-2.3973
"396",-2.6159
"397",-1.9625
"398",-2.4953
"399",-2.4167
"400",-2.2937
"401",-2.5074
"402",-2.2991
"403",-2.5023
"404",-2.3889
"405",-2.5596
"406",-2.3166
"407",-2.1401
"408",-1.9244
"409",-2.2804
"410",-1.8683
"411",-2.0431
"412",-1.6113
"413",-1.7427
"414",-1.9384
"415",-2.2813
"416",-2.0215
"417",-2.2666
"418",-1.8727
"419",-1.5272
"420",-1.7862
"421",-1.8417
"422",-2.4005
"423",-2.5651
"424",-2.6497
"425",-2.1847
"426",-2.1421
"427",-2.0403
"428",-1.8964
"429",-2.2933
"430",-2.3187
"431",-2.549
"432",-2.5081
"433",-2.1769
"434",-2.2733
"435",-2.2459
"436",-2.0869
"437",-2.3418
"438",-2.5417
"439",-2.6764
"440",-2.6029
"441",-2.3526
"442",-2.525
"443",-2.2653
"444",-2.0774
"445",-2.3908
"446",-2.4346
"447",-2.1679
"448",-1.9805
"449",-2.495
"450",-2.518
"451",-2.4238
"452",-2.3591
"453",-2.5667
"454",-2.1914
"455",-2.7544
"456",-1.868
"457",-2.109
"458",-1.9414
"459",-2.1286
"460",-2.5408
"461",-2.3577
"462",-2.5383
"463",-2.5243
"464",-2.3525
"465",-2.306
"466",-2.194
"467",-1.6321
"468",-2.338
"469",-1.8506
"470",-2.3886
"471",-1.8145
"472",-1.8861
"473",-1.8186
"474",-2.0617
"475",-1.935
"476",-1.6802
"477",-2.0462
"478",-1.8825
"479",-2.0098
"480",-1.744
"481",-1.6478
"482",-1.6693
"483",-1.6972
"484",-1.0882
"485",-1.4872
"486",-1.7294
"487",-1.5755
"488",-1.7788
"489",-1.618
"490",-2.0958
"491",-2.0405
"492",-2.3568
"493",-1.8998
"494",-1.8607
"495",-1.9784
"496",-1.5576
"497",-1.6753
"498",-1.7554
"499",-1.9137
"500",-1.6657
"501",-2.0948
"502",-2.1973
"503",-1.9167
"504",-2.143
"505",-2.2613
"506",-2.1032
"507",-1.9694
"508",-1.5923
"509",-1.6109
"510",-1.9673
"511",-2.4237
"512",-2.5043
"513",-2.2784
"514",-2.3585
"515",-1.8548
"516",-1.9854
"517",-1.9283
"518",-2.1601
"519",-2.1549
"520",-2.2803
"521",-1.9773
"522",-1.9714
"523",-2.0547
"524",-2.1495
"525",-2.1933
"526",-1.8304
"527",-2.1039
"528",-1.8608
"529",-1.4847
"530",-2.0506
"531",-1.7008
"532",-1.4282
"533",-1.8104
"534",-1.4725
"535",-1.8503
"536",-1.2428
"537",-1.6035
"538",-1.7756
"539",-1.8791
"540",-1.1432
"541",-1.1536
"542",-1.4685
"543",-1.6439
"544",-1.2447
"545",-1.3575
"546",-1.5854
"547",-1.2666
"548",-1.4879
"549",-1.5938
"550",-1.8343
"551",-1.6699
"552",-1.9465
"553",-1.9413
"554",-1.6413
"555",-1.8168
"556",-1.5729
"557",-1.0569
"558",-0.993
"559",-0.6267
"560",-0.354
"561",-0.2762
"562",-0.6254
"563",-0.3239
"564",-0.0761
"565",-0.3078
"566",-0.1452
"567",-0.7126
"568",-0.5749
"569",-0.3771
"570",-0.5674
"571",-0.804
"572",-0.6822
"573",-0.4708
"574",-0.7177
"575",-1.2299
"576",-1.1221
"577",-0.9754
"578",-1.3835
"579",-1.2632
"580",-1.1675
"581",-0.8572
"582",-1.3966
"583",-1.3554
"584",-1.1372
"585",-0.9328
"586",-0.3796
"587",-0.8678
"588",-0.735
"589",-0.6558
"590",-0.5107
"591",-0.6851
"592",-0.7437
"593",-0.5346
"594",-0.7783
"595",-0.7466
"596",-0.6584
"597",-0.3435
"598",-0.6127
"599",-0.2399
"600",0.144
"601",-0.1712
"602",0.0732
"603",-0.7669
"604",-1.0087
"605",-1.0334
"606",-1.5183
"607",-2.1001
"608",-1.9976
"609",-1.8978
"610",-1.8734
"611",-2.1223
"612",-1.393
"613",-1.4723
"614",-1.9498
"615",-1.5561
"616",-2.0317
"617",-1.8364
"618",-1.5763
"619",-1.4885
"620",-1.8009
"621",-1.4263
"622",-1.6312
"623",-1.1429
"624",-1.4008
"625",-1.6645
"626",-1.8682
"627",-1.8777
"628",-1.908
"629",-2.2704
"630",-2.2539
"631",-2.3312
"632",-2.2471
"633",-2.3021
"634",-2.4668
"635",-2.5567
"636",-2.2953
"637",-2.005
"638",-2.0038
"639",-2.2205
"640",-2.2694
"641",-2.4061
"642",-2.1626
"643",-2.1709
"644",-2.1429
"645",-2.1022
"646",-2.6423
"647",-2.5831
"648",-2.5317
"649",-2.4173
"650",-2.1104
"651",-2.0574
"652",-2.357
"653",-2.5554
"654",-2.3764
"655",-2.2423
"656",-2.3531
"657",-2.5258
"658",-2.2568
"659",-2.308
"660",-2.4773
"661",-2.8223
"662",-2.7968
"663",-2.396
"664",-2.2896
"665",-2.4416
"666",-2.6307
"667",-2.3521
"668",-2.6132
"669",-2.4364
"670",-2.2999
"671",-2.5451
"672",-2.2274
"673",-2.6112
"674",-2.2274
"675",-2.4871
"676",-2.2259
"677",-2.2637
"678",-2.6911
"679",-2.4575
"680",-2.3733
"681",-2.0419
"682",-2.2061
"683",-2.4125
"684",-2.2552
"685",-2.4983
"686",-2.5813
"687",-2.2427
"688",-2.2722
"689",-2.2078
"690",-1.9662
"691",-2.4486
"692",-2.4541
"693",-2.1868
"694",-2.168
"695",-1.945
"696",-1.9803
"697",-2.4363
"698",-2.3457
"699",-2.3508
"700",-2.262
"701",-2.2486
"702",-2.0928
"703",-2.015
"704",-2.3057
"705",-2.5481
"706",-2.3174
"707",-2.3198
"708",-2.3696
"709",-2.1939
"710",-2.5244
"711",-2.2589
"712",-2.4733
"713",-2.5333
"714",-2.7385
"715",-2.6369
"716",-2.701
"717",-2.3859
"718",-2.659
"719",-2.664
"720",-2.8995
"721",-2.6201
"722",-2.6168
"723",-2.501
"724",-2.2746
"725",-2.622
"726",-2.4921
"727",-2.9144
"728",-2.9196
"729",-2.7817
"730",-2.5939
"731",-2.5885
"732",-2.5133
"733",-2.6358
"734",-2.4496
"735",-2.3179
"736",-2.8275
"737",-2.5699
"738",-2.5013
"739",-2.3306
"740",-2.4075
"741",-2.794
"742",-2.6852
"743",-2.4869
"744",-2.8856
"745",-2.6624
"746",-2.6437
"747",-2.5965
"748",-2.6814
"749",-2.6777
"750",-2.5473
"751",-2.2018
"752",-2.3813
"753",-2.2665
"754",-2.2611
"755",-2.3715
"756",-2.7842
"757",-2.766
"758",-2.4982
"759",-2.0837
"760",-2.254
"761",-2.5033
"762",-2.2987
"763",-2.8183
"764",-2.5931
"765",-2.4987
"766",-2.5116
"767",-2.6365
"768",-2.4974
"769",-2.6722
"770",-2.8642
"771",-2.9542
"772",-2.3864
"773",-2.9194
"774",-2.9386
"775",-3.2759
"776",-3.1853
"777",-2.9994
"778",-2.5474
"779",-2.5591
"780",-3.3817
"781",-3.2268
"782",-2.6909
"783",-3.1788
"784",-3.2628
"785",-3.274
"786",-3.2274
"787",-3.042
"788",-3.1638
"789",-2.874
"790",-3.3014
"791",-3.0149
"792",-2.9893
"793",-3.3486
"794",-2.8622
"795",-2.8229
"796",-2.5632
"797",-2.9665
"798",-2.7889
"799",-2.7072
"800",-3.0578
"801",-2.9432
"802",-3.1762
"803",-2.8843
"804",-2.7089
"805",-3.1095
"806",-3.2478
"807",-3.6736
"808",-3.2199
"809",-3.3507
"810",-3.5696
"811",-3.2377
"812",-3.2096
"813",-3.0951
"814",-3.4372
"815",-3.5515
"816",-3.7686
"817",-3.5418
"818",-3.6223
"819",-3.0265
"820",-3.3573
"821",-3.2375
"822",-3.5335
"823",-3.1244
"824",-3.3845
"825",-3.1618
"826",-3.2156
"827",-3.0315
"828",-3.2302
"829",-3.0638
"830",-3.4188
"831",-3.5244
"832",-3.5002
"833",-3.1852
"834",-3.3277
"835",-3.2911
"836",-3.2235
"837",-3.4616
"838",-3.3929
"839",-3.309
"840",-3.3125
"841",-3.5137
"842",-3.4688
"843",-3.4232
"844",-2.811
"845",-2.6456
"846",-2.8587
"847",-2.9392
"848",-2.8761
"849",-2.9174
"850",-2.9696
"851",-2.7619
"852",-3.0942
"853",-3.0948
"854",-3.1229
"855",-3.2565
"856",-2.6643
"857",-2.7642
"858",-2.9677
"859",-2.7239
"860",-2.66
"861",-2.8463
"862",-2.7325
"863",-2.6824
"864",-2.7865
"865",-2.8185
"866",-2.9959
"867",-2.8959
"868",-2.9406
"869",-2.7787
"870",-2.9069
"871",-2.6817
"872",-3.17
"873",-2.9186
"874",-2.8783
"875",-2.9608
"876",-2.4781
"877",-2.3949
"878",-2.0627
"879",-2.5087
"880",-2.6404
"881",-2.5374
"882",-2.6116
"883",-2.4221
"884",-2.6935
"885",-2.9293
"886",-3.0101
"887",-3.1573
"888",-2.3115
"889",-2.4938
"890",-2.4857
"891",-2.7536
"892",-2.5367
"893",-2.7831
"894",-3.0043
"895",-2.8352
"896",-2.716
"897",-2.8768
"898",-2.898
"899",-2.6199
"900",-2.6812
"901",-3.0461
"902",-2.5994
"903",-3.0602
"904",-2.8218
"905",-3.0861
"906",-2.8893
"907",-3.0319
"908",-2.8084
"909",-2.8803
"910",-3.4451
"911",-3.2676
"912",-3.285
"913",-3.2244
"914",-3.0572
"915",-3.2103
"916",-3.1711
"917",-2.7109
"918",-2.8071
"919",-2.8959
"920",-3.2457
"921",-3.0837
"922",-2.7957
"923",-3.058
"924",-3.1234
"925",-2.8554
"926",-3.1353
"927",-3.1176
"928",-3.1142
"929",-2.9553
"930",-3.0677
"931",-3.0324
"932",-3.1938
"933",-3.202
"934",-3.0233
"935",-2.9709
"936",-2.6129
"937",-2.8296
"938",-3.4755
"939",-3.1582
"940",-3.3627
"941",-2.816
"942",-3.2603
"943",-2.9971
"944",-2.9703
"945",-2.8525
"946",-3.2423
"947",-3.3064
"948",-2.8465
"949",-2.9992
