"","d_CD-CBM","Rg_CD","Rg_CBM","Rg_Global"
"1",32.9253,21.7621,12.6003,24.3969
"2",32.8981,21.7377,12.5029,24.3728
"3",32.3697,21.7282,12.5769,24.2718
"4",32.4955,21.8668,12.6139,24.4158
"5",32.3699,21.7937,12.5947,24.3087
"6",32.462,21.8437,12.6704,24.4009
"7",32.5614,21.8072,12.6408,24.39
"8",33.1914,21.79,12.6721,24.4862
"9",33.2428,21.8129,12.6699,24.4994
"10",33.3018,21.7896,12.5724,24.4822
"11",32.9911,21.8192,12.6286,24.4747
"12",32.9214,21.8412,12.6019,24.4872
"13",33.0839,21.7984,12.6649,24.4458
"14",32.8594,21.8454,12.6736,24.4413
"15",32.9703,21.871,12.5944,24.4651
"16",32.9301,21.8399,12.6608,24.4166
"17",32.9553,21.8297,12.6865,24.4284
"18",33.4988,21.8173,12.6273,24.5105
"19",33.2403,21.9071,12.6772,24.5606
"20",33.3907,21.9101,12.6571,24.5629
"21",33.3336,21.8037,12.6474,24.4812
"22",33.3367,21.8789,12.702,24.5368
"23",33.5354,21.8563,12.6398,24.5637
"24",33.8506,21.8382,12.684,24.5994
"25",33.6097,21.954,12.6159,24.6553
"26",33.6909,21.8813,12.6352,24.6336
"27",33.5855,21.8523,12.6663,24.5918
"28",33.2793,21.8077,12.6888,24.5027
"29",33.7013,21.795,12.6574,24.5663
"30",33.1805,21.8495,12.6362,24.4948
"31",32.9385,21.8176,12.5288,24.4028
"32",33.0321,21.8425,12.6805,24.4574
"33",32.8722,21.862,12.737,24.4686
"34",33.1884,21.9517,12.6539,24.5618
"35",32.8673,21.9582,12.6059,24.505
"36",32.5666,21.8755,12.6846,24.3978
"37",32.9328,21.8517,12.6306,24.435
"38",32.6335,21.9374,12.5827,24.4339
"39",32.8387,21.9091,12.6168,24.4584
"40",32.7403,21.8844,12.6798,24.4476
"41",32.3792,21.8368,12.7229,24.3576
"42",32.5113,21.9474,12.6344,24.4603
"43",32.6905,22.025,12.6858,24.566
"44",32.5756,21.9321,12.6624,24.4761
"45",32.7692,21.9319,12.6502,24.5206
"46",32.0449,21.8786,12.7076,24.326
"47",32.1017,21.8362,12.6268,24.2819
"48",32.5478,21.8983,12.6052,24.4051
"49",32.4377,21.949,12.6141,24.4139
"50",32.6004,21.9615,12.6897,24.4556
"51",32.5734,21.9637,12.6035,24.4576
"52",33.079,21.9731,12.6881,24.5985
"53",32.6916,21.8407,12.6382,24.4075
"54",32.7848,21.9092,12.612,24.4638
"55",32.538,21.8305,12.5898,24.3366
"56",32.7658,21.8665,12.5378,24.435
"57",32.6981,21.9166,12.5711,24.4681
"58",32.4346,21.9242,12.5999,24.4362
"59",32.6819,21.8644,12.6103,24.4383
"60",32.6709,21.8908,12.638,24.4525
"61",32.6221,21.9468,12.5807,24.4789
"62",32.7435,21.9085,12.5857,24.4744
"63",32.6223,21.9112,12.5585,24.4376
"64",32.6925,21.9297,12.5313,24.4647
"65",32.8505,21.9085,12.5415,24.501
"66",32.8117,21.961,12.6106,24.5409
"67",33.1759,21.8648,12.6249,24.5195
"68",33.6563,21.983,12.6001,24.6889
"69",33.0228,21.9148,12.5889,24.5144
"70",33.1721,21.9334,12.6062,24.57
"71",33.1788,21.97,12.5987,24.6081
"72",32.6975,21.8983,12.6551,24.4485
"73",32.4662,21.8635,12.639,24.3975
