#Frame       d_CD-CBM        Rg_CD       Rg_CBM    Rg_Global
       1      33.6297      21.4303      12.4449      24.1741
       2      33.5621      21.4413      12.5063      24.1690
       3      33.5023      21.4185      12.5552      24.1516
       4      33.6619      21.4225      12.4709      24.1755
       5      33.8862      21.4443      12.5073      24.2386
       6      33.8378      21.4250      12.5474      24.2150
       7      33.3433      21.3641      12.5420      24.0882
       8      33.7276      21.5239      12.4604      24.2705
       9      33.6558      21.4266      12.5301      24.1743
      10      33.6680      21.4259      12.5160      24.1834
      11      33.5793      21.4274      12.4892      24.1580
      12      33.8890      21.4082      12.4296      24.2018
      13      33.5429      21.3845      12.5703      24.1318
      14      33.8869      21.4147      12.5022      24.2265
      15      33.8019      21.4582      12.5929      24.2406
      16      33.4049      21.4959      12.5725      24.2057
      17      33.4997      21.4423      12.5354      24.1709
      18      33.6718      21.4580      12.4676      24.2024
      19      33.7242      21.4768      12.5815      24.2363
      20      33.3521      21.4056      12.5980      24.1235
      21      33.7677      21.4389      12.4818      24.2010
      22      33.7712      21.4216      12.6205      24.2213
      23      33.9390      21.4506      12.5197      24.2614
      24      33.5192      21.5195      12.6719      24.2617
      25      33.6452      21.4012      12.5112      24.1607
      26      33.8264      21.4488      12.5202      24.2552
      27      33.8379      21.4624      12.4749      24.2371
      28      33.6105      21.3585      12.5194      24.1311
      29      33.3856      21.3645      12.5491      24.0913
      30      33.7067      21.3969      12.4732      24.1749
      31      33.5989      21.4323      12.5742      24.2005
      32      33.6770      21.4973      12.5497      24.2596
      33      33.5191      21.4075      12.5478      24.1640
      34      33.3272      21.4239      12.5415      24.1319
      35      33.4767      21.4461      12.4989      24.1790
      36      33.5627      21.4308      12.5053      24.1742
      37      33.6283      21.4050      12.5605      24.1908
      38      33.2620      21.3658      12.5578      24.0834
      39      33.7134      21.5144      12.5641      24.2802
      40      33.3236      21.4775      12.5282      24.1848
      41      33.6471      21.5505      12.5854      24.3045
      42      33.5288      21.4573      12.5430      24.1955
      43      33.4850      21.4991      12.5675      24.2213
      44      33.2384      21.4739      12.6231      24.1685
      45      33.1710      21.4583      12.5721      24.1284
      46      33.5875      21.4693      12.5393      24.2324
      47      33.5174      21.4853      12.5047      24.2006
      48      33.3076      21.4629      12.4735      24.1454
      49      33.5000      21.4725      12.5608      24.2105
      50      33.2515      21.4147      12.5941      24.1279
      51      33.1719      21.4241      12.5709      24.1111
      52      33.3607      21.5101      12.4944      24.1932
      53      33.4473      21.5143      12.5457      24.2259
      54      33.4828      21.5623      12.5120      24.2591
      55      33.3850      21.6457      12.5890      24.3168
      56      33.3847      21.5446      12.5301      24.2348
      57      33.7193      21.5625      12.5664      24.3203
      58      33.6909      21.5905      12.5205      24.3336
      59      33.5017      21.5331      12.5638      24.2504
      60      33.7309      21.4751      12.5400      24.2438
      61      33.5747      21.5786      12.5876      24.3085
      62      33.5178      21.4998      12.5375      24.2230
      63      33.4355      21.5587      12.5639      24.2477
      64      33.4366      21.5829      12.5753      24.2848
      65      33.5297      21.5311      12.5909      24.2586
      66      33.3822      21.5559      12.4593      24.2322
      67      33.2926      21.5245      12.5135      24.2058
      68      33.3597      21.4898      12.5153      24.2064
      69      33.2491      21.5261      12.5148      24.1965
      70      33.0878      21.5343      12.5780      24.1748
      71      33.3283      21.5665      12.5918      24.2449
      72      33.4543      21.5682      12.5863      24.2761
      73      33.2224      21.5312      12.5633      24.2184
      74      33.1687      21.5250      12.6197      24.1919
      75      33.5834      21.4904      12.5522      24.2412
      76      33.3884      21.5473      12.5901      24.2462
      77      33.7907      21.5071      12.5648      24.2904
      78      33.4434      21.5065      12.6303      24.2311
      79      33.4534      21.6495      12.5214      24.3303
      80      33.5188      21.6415      12.5822      24.3394
      81      33.3358      21.5485      12.5529      24.2295
      82      33.3318      21.5460      12.7210      24.2462
      83      33.3107      21.5650      12.7141      24.2657
      84      33.1075      21.5661      12.6513      24.2133
      85      33.4442      21.6212      12.6439      24.3287
      86      33.6715      21.6210      12.5501      24.3403
      87      33.6011      21.5876      12.5512      24.3144
      88      33.7619      21.5687      12.5945      24.3222
      89      33.6146      21.5622      12.6814      24.2991
      90      33.6982      21.6125      12.5854      24.3381
      91      33.6238      21.5487      12.5564      24.2781
      92      33.7326      21.5663      12.6151      24.3212
      93      33.3350      21.5068      12.5028      24.2004
      94      33.2123      21.5213      12.6205      24.1900
      95      33.5955      21.4781      12.5446      24.2318
      96      33.2233      21.5417      12.6240      24.2044
      97      33.6941      21.6001      12.6273      24.3641
      98      33.7795      21.5435      12.6184      24.3162
      99      33.3028      21.5525      12.6628      24.2383
     100      33.4480      21.5102      12.6507      24.2267
     101      33.5483      21.5796      12.5997      24.3018
     102      33.5026      21.5651      12.6322      24.2789
     103      33.2452      21.6265      12.5347      24.2770
     104      33.2907      21.5057      12.5363      24.1813
     105      33.5056      21.6137      12.6195      24.3146
     106      33.5892      21.5779      12.6214      24.3034
     107      33.4240      21.5215      12.5793      24.2221
     108      33.2525      21.4630      12.6043      24.1593
     109      33.4672      21.4953      12.6033      24.2217
     110      33.5779      21.4613      12.6212      24.2240
     111      33.1378      21.4315      12.6801      24.1146
     112      33.2277      21.5462      12.6529      24.2294
     113      33.1943      21.5399      12.5488      24.2069
     114      33.3039      21.5498      12.5642      24.2324
     115      33.3998      21.5973      12.6803      24.2976
     116      33.2013      21.6379      12.5958      24.2932
     117      33.5033      21.5533      12.7022      24.2920
     118      33.3546      21.6289      12.5804      24.3046
     119      33.5053      21.5084      12.6351      24.2441
     120      33.3663      21.5602      12.5418      24.2456
     121      33.4614      21.5815      12.5738      24.2833
     122      33.4544      21.5665      12.6899      24.2877
     123      33.6046      21.6268      12.5352      24.3427
     124      33.6602      21.6969      12.6818      24.4345
     125      33.4560      21.6291      12.6253      24.3326
     126      33.5570      21.6136      12.6781      24.3532
     127      33.5606      21.6798      12.6759      24.3969
     128      33.5158      21.6580      12.6520      24.3678
     129      33.2569      21.6157      12.6570      24.3145
     130      33.0523      21.5286      12.6506      24.1897
     131      33.2730      21.4785      12.6080      24.1632
     132      32.7974      21.6697      12.6160      24.2502
     133      33.2147      21.5586      12.6953      24.2420
     134      33.5392      21.4760      12.6059      24.2142
     135      33.0252      21.5267      12.5893      24.1748
     136      33.6110      21.6417      12.6535      24.3857
     137      33.1492      21.6014      12.6477      24.2727
     138      33.2604      21.5596      12.6387      24.2481
     139      33.1969      21.6364      12.6201      24.2951
     140      33.4774      21.6496      12.6401      24.3637
     141      33.0560      21.5602      12.6396      24.2053
     142      33.2150      21.6181      12.6256      24.2824
     143      33.0719      21.5593      12.5934      24.2035
     144      33.3973      21.5422      12.6073      24.2462
     145      33.4804      21.5522      12.6153      24.2885
     146      33.3184      21.6321      12.6665      24.3150
     147      33.3115      21.5438      12.6010      24.2399
     148      33.2915      21.6661      12.6634      24.3330
     149      33.5662      21.6232      12.6248      24.3562
     150      33.3683      21.5808      12.6253      24.2816
     151      33.4530      21.6339      12.6064      24.3446
     152      33.5333      21.6508      12.6328      24.3712
     153      33.6690      21.6326      12.6104      24.3754
     154      33.2418      21.6136      12.5869      24.2809
     155      33.2723      21.4666      12.5579      24.1609
     156      33.2423      21.6593      12.6372      24.3187
     157      33.2113      21.6668      12.6130      24.3203
     158      33.0040      21.6243      12.6290      24.2340
     159      33.4001      21.6132      12.5270      24.2929
     160      33.0613      21.6321      12.5860      24.2436
     161      33.2945      21.6249      12.5959      24.2896
     162      32.7828      21.6552      12.6276      24.2176
     163      33.1111      21.6746      12.6415      24.2828
     164      33.2077      21.6486      12.5536      24.2713
     165      33.2474      21.5477      12.6297      24.2099
     166      33.2310      21.5846      12.5932      24.2463
     167      33.3183      21.5955      12.6464      24.2818
     168      33.2374      21.5932      12.6526      24.2483
     169      32.9127      21.4773      12.6903      24.1058
     170      33.2204      21.5432      12.6469      24.2114
     171      33.1159      21.5520      12.6580      24.2008
     172      33.2107      21.6857      12.6876      24.3207
     173      33.1727      21.5215      12.6905      24.1882
     174      33.0832      21.5352      12.6770      24.1852
     175      33.2237      21.5138      12.6883      24.1770
     176      33.2278      21.6222      12.6675      24.2706
     177      33.5698      21.6163      12.6539      24.3417
     178      33.5563      21.6365      12.6221      24.3545
     179      33.5973      21.6557      12.5917      24.3722
     180      33.6728      21.6436      12.5383      24.3889
     181      33.5508      21.5905      12.6018      24.3124
     182      33.5215      21.5894      12.6380      24.3116
     183      33.5699      21.6431      12.5776      24.3402
     184      33.2042      21.5594      12.6322      24.2338
     185      33.5479      21.5602      12.6038      24.2955
     186      33.3399      21.5684      12.5620      24.2570
     187      33.2999      21.5596      12.5876      24.2431
     188      33.4654      21.6228      12.5681      24.3257
     189      33.0939      21.6604      12.6090      24.2855
     190      33.4245      21.5558      12.5846      24.2671
     191      33.2514      21.6031      12.5905      24.2755
     192      33.4365      21.5709      12.6275      24.2698
     193      33.0190      21.6835      12.6599      24.2864
     194      33.4810      21.6208      12.5797      24.3209
     195      33.3063      21.6874      12.5820      24.3313
     196      33.2472      21.6178      12.6966      24.2985
     197      32.9648      21.5779      12.7144      24.1963
     198      33.1763      21.5688      12.6425      24.2175
     199      33.3446      21.5323      12.6403      24.2372
     200      33.3361      21.4440      12.6051      24.1694
     201      33.4088      21.5425      12.6376      24.2496
     202      33.4343      21.4865      12.6314      24.2144
     203      33.2188      21.5386      12.5726      24.2131
     204      33.2376      21.6047      12.6545      24.2888
     205      33.3364      21.4908      12.6373      24.2186
     206      33.2223      21.5266      12.6189      24.2115
     207      33.1975      21.4342      12.7025      24.1455
     208      33.2245      21.5409      12.5845      24.2221
     209      33.2118      21.6119      12.5684      24.2610
     210      33.3508      21.6242      12.6046      24.3199
     211      33.3164      21.5950      12.6252      24.2752
     212      33.3631      21.6487      12.6155      24.3329
     213      33.1528      21.5955      12.6278      24.2588
     214      33.1584      21.6401      12.6668      24.2658
     215      33.1024      21.5916      12.6034      24.2243
     216      33.0999      21.6083      12.6681      24.2369
     217      33.3006      21.5730      12.6038      24.2443
     218      33.1301      21.6226      12.6424      24.2748
     219      33.2861      21.6599      12.6294      24.3277
     220      33.2680      21.5680      12.5881      24.2438
     221      33.3778      21.6202      12.5611      24.2877
     222      33.0124      21.6090      12.6487      24.2236
     223      33.1905      21.6087      12.5858      24.2572
     224      33.1392      21.5984      12.6201      24.2378
     225      33.4644      21.6263      12.6503      24.3275
     226      32.9691      21.6074      12.6239      24.2260
     227      33.1854      21.5832      12.5857      24.2257
     228      33.4534      21.5896      12.6290      24.2987
     229      33.5039      21.5400      12.6440      24.2757
     230      33.3577      21.6584      12.6056      24.3223
     231      33.4372      21.7235      12.6493      24.3907
     232      33.2355      21.6910      12.6131      24.3383
     233      33.3076      21.6191      12.5186      24.2825
     234      33.5392      21.6272      12.5131      24.3357
     235      33.2804      21.7455      12.5928      24.3891
     236      33.3240      21.8058      12.5928      24.4592
     237      33.4581      21.7373      12.5362      24.4141
     238      33.4043      21.6707      12.5532      24.3597
     239      33.4246      21.6394      12.5146      24.3279
     240      33.3890      21.6960      12.5870      24.3616
     241      33.1741      21.6947      12.5488      24.3260
     242      33.3379      21.6750      12.5351      24.3435
     243      33.5096      21.6461      12.5976      24.3530
     244      33.2201      21.6140      12.5454      24.2733
     245      33.3762      21.6908      12.5264      24.3727
     246      33.3821      21.6310      12.5316      24.3112
     247      33.2071      21.6298      12.5787      24.2798
     248      33.4311      21.6165      12.4474      24.2996
     249      33.2977      21.5631      12.5908      24.2626
     250      33.4686      21.6083      12.5851      24.3113
     251      33.5844      21.6423      12.5448      24.3482
     252      33.4511      21.6198      12.5652      24.3135
     253      33.3591      21.6553      12.6306      24.3410
     254      33.5017      21.7083      12.5915      24.3963
     255      33.1587      21.6051      12.6053      24.2552
     256      33.3656      21.6881      12.5951      24.3490
     257      33.4499      21.6399      12.5486      24.3368
     258      33.4745      21.6110      12.5687      24.3033
     259      33.6218      21.6417      12.4139      24.3443
     260      33.2585      21.6522      12.5532      24.2993
     261      33.2694      21.6228      12.5021      24.2805
     262      33.2247      21.6645      12.5802      24.3071
     263      33.2286      21.5902      12.5560      24.2541
     264      33.3723      21.7258      12.5771      24.3883
     265      33.6032      21.5822      12.5579      24.3166
     266      33.3635      21.6823      12.5255      24.3522
     267      33.3086      21.6275      12.5368      24.3011
     268      33.4232      21.6722      12.6003      24.3603
     269      33.5934      21.6722      12.5182      24.3949
     270      33.5443      21.6623      12.5325      24.3706
     271      33.5162      21.6035      12.5325      24.3251
     272      34.0760      21.6030      12.5135      24.4328
     273      33.7675      21.6508      12.5652      24.4118
     274      33.7055      21.5346      12.5013      24.2821
     275      33.3789      21.5869      12.4461      24.2828
     276      33.2150      21.6327      12.5091      24.2816
     277      33.4723      21.5764      12.4879      24.2825
     278      33.1543      21.6425      12.5013      24.2665
     279      33.7304      21.6431      12.5072      24.3777
     280      33.6277      21.6250      12.6015      24.3452
     281      33.3068      21.6030      12.5284      24.2767
     282      33.5286      21.5373      12.4700      24.2531
     283      33.2543      21.6996      12.5769      24.3309
     284      33.3161      21.5526      12.5082      24.2259
     285      33.2353      21.4849      12.5341      24.1598
     286      33.3468      21.5914      12.5112      24.2677
