#Frame       d_CD-CBM        Rg_CD       Rg_CBM    Rg_Global
       1      49.6814      21.7779      12.5044      28.0637
       2      49.5525      21.7406      12.5004      28.0109
       3      48.9657      21.7023      12.5313      27.8240
       4      49.3434      21.7224      12.5321      27.9217
       5      49.4495      21.8542      12.5416      28.0552
       6      49.7407      21.7350      12.5176      28.0300
       7      49.1576      21.6710      12.6042      27.8559
       8      49.1252      21.6941      12.5370      27.8606
       9      49.0500      21.7086      12.6384      27.8709
      10      49.6995      21.8141      12.4947      28.0898
      11      49.7332      21.7705      12.6100      28.0703
      12      49.3713      21.7821      12.5506      27.9873
      13      49.5633      21.6638      12.5250      27.9542
      14      50.0870      21.6639      12.6585      28.0812
      15      49.9689      21.7081      12.6639      28.0858
      16      49.4064      21.7197      12.5243      27.9385
      17      49.1559      21.7058      12.7004      27.8840
      18      49.8118      21.6745      12.6441      28.0253
      19      49.8261      21.6849      12.5661      28.0468
      20      50.0010      21.7339      12.5145      28.1061
      21      49.5783      21.6884      12.5415      27.9805
      22      49.6008      21.6889      12.6332      27.9905
      23      49.5975      21.7554      12.5555      28.0306
      24      49.6645      21.8564      12.5523      28.1218
      25      49.6904      21.8058      12.6272      28.0937
      26      49.4632      21.7645      12.5549      28.0029
      27      49.7572      21.8020      12.5479      28.1001
      28      50.0058      21.7410      12.6242      28.1382
      29      50.2052      21.6867      12.5933      28.1309
      30      50.1946      21.7108      12.5584      28.1423
      31      49.7030      21.7057      12.5571      28.0147
      32      49.7702      21.7567      12.5894      28.0784
      33      49.5684      21.6966      12.5712      27.9837
      34      50.0588      21.7184      12.6164      28.1158
      35      49.7735      21.7488      12.6879      28.0807
      36      49.8332      21.7474      12.5653      28.0870
      37      49.8022      21.7602      12.5027      28.0937
      38      49.3150      21.8464      12.6359      28.0362
      39      49.4231      21.7648      12.5730      27.9942
      40      49.5290      21.8205      12.6017      28.0543
      41      49.7718      21.7350      12.5890      28.0532
      42      50.5057      21.8005      12.5318      28.2747
      43      50.0888      21.7639      12.4921      28.1419
      44      50.0267      21.8074      12.5530      28.1687
      45      50.0956      21.8101      12.5845      28.1933
      46      50.0425      21.8143      12.6213      28.1866
      47      50.3466      21.9300      12.5888      28.3203
      48      50.0435      21.8818      12.5343      28.2149
      49      50.0705      21.8600      12.5298      28.2087
      50      50.2389      21.7723      12.5967      28.1979
      51      49.6488      21.7914      12.6062      28.0672
      52      49.8183      21.9039      12.5883      28.1811
      53      50.1038      21.8292      12.5701      28.2105
      54      49.5099      21.7966      12.5689      28.0335
      55      49.9170      21.8737      12.5931      28.1839
      56      49.7948      21.7415      12.5295      28.0646
      57      49.1738      21.8009      12.5516      27.9555
      58      50.0397      21.7279      12.6207      28.1314
      59      49.4414      21.7419      12.6265      27.9879
      60      49.4214      21.7959      12.6363      28.0141
      61      49.0271      21.7261      12.6616      27.8751
      62      49.6110      21.8167      12.6016      28.0842
      63      49.3708      21.7529      12.7042      27.9734
      64      49.9004      21.7463      12.5317      28.0937
      65      49.6192      21.7688      12.5545      28.0328
      66      49.4342      21.8414      12.6294      28.0440
      67      49.1088      21.7520      12.5502      27.8895
      68      49.9670      21.7989      12.6553      28.1593
      69      49.9946      21.8164      12.5637      28.1631
      70      50.2231      21.8584      12.5304      28.2336
      71      50.0951      21.8790      12.6375      28.2354
      72      49.7659      21.8099      12.5649      28.1000
      73      49.9045      21.7873      12.5682      28.1147
      74      49.8737      21.7663      12.5455      28.0996
      75      49.8404      21.8245      12.5517      28.1261
      76      49.3707      21.7261      12.6483      27.9462
      77      49.3391      21.6857      12.5423      27.9090
      78      49.7517      21.7517      12.5802      28.0640
      79      50.0824      21.6639      12.6265      28.0915
      80      50.2126      21.6853      12.6409      28.1378
      81      50.1586      21.6784      12.6214      28.1257
      82      49.6685      21.6752      12.5542      27.9828
      83      50.0825      21.7463      12.5506      28.1398
      84      49.9442      21.7301      12.5921      28.0938
      85      50.0853      21.7433      12.5602      28.1394
      86      49.2951      21.7187      12.5158      27.9154
      87      49.7630      21.7608      12.4710      28.0665
      88      50.2631      21.7725      12.5402      28.1967
      89      50.1868      21.8572      12.5763      28.2301
      90      49.9977      21.8508      12.5512      28.1883
      91      49.9099      21.8355      12.6024      28.1639
      92      50.0826      21.8809      12.5513      28.2220
      93      50.0926      21.7801      12.5330      28.1699
      94      49.4987      21.8459      12.6212      28.0589
      95      49.3408      21.7951      12.5179      27.9710
      96      49.4985      21.8627      12.5338      28.0655
      97      49.5520      21.7778      12.6324      28.0227
      98      50.0345      21.8468      12.5768      28.1994
      99      49.9644      21.9404      12.5600      28.2460
     100      49.4143      21.8734      12.5924      28.0561
     101      49.3394      21.9284      12.6146      28.0812
     102      49.4768      21.9467      12.6589      28.1314
     103      49.8077      21.8611      12.5907      28.1492
     104      49.3830      21.8915      12.5524      28.0549
     105      49.8624      21.9160      12.6380      28.1889
     106      49.6552      21.8654      12.5750      28.0959
     107      49.3045      21.8311      12.5766      27.9938
     108      49.4887      21.8742      12.5674      28.0673
     109      49.3717      21.8108      12.5974      27.9979
     110      49.4621      21.9351      12.5380      28.0775
     111      49.1999      21.9638      12.5664      28.0400
     112      48.9356      21.8559      12.5327      27.9008
     113      49.4462      21.8972      12.5350      28.0499
     114      49.7193      21.8422      12.5913      28.0835
     115      50.0194      21.8754      12.5361      28.1797
     116      49.9276      21.9119      12.5378      28.1778
     117      49.9755      22.0010      12.5722      28.2541
     118      49.6873      21.8634      12.5496      28.0938
     119      49.6584      21.7301      12.4747      27.9907
     120      48.9698      21.8758      12.5281      27.9342
     121      49.3492      21.8095      12.5335      27.9859
     122      49.8104      21.8800      12.5159      28.1418
     123      49.8088      21.8981      12.5045      28.1662
     124      49.9550      21.7831      12.5378      28.1203
     125      49.5649      21.8514      12.5413      28.0520
     126      49.5185      21.8353      12.4740      28.0217
     127      49.8799      21.8770      12.5617      28.1492
     128      50.2123      21.9544      12.5784      28.2747
     129      49.9553      22.0083      12.5471      28.2383
     130      49.6453      21.9314      12.5448      28.1163
     131      49.9682      21.8508      12.5453      28.1385
     132      49.6892      21.8729      12.6084      28.0923
     133      49.9232      21.8709      12.5862      28.1459
     134      50.0991      21.9047      12.4958      28.2062
     135      49.5906      21.7461      12.6193      27.9955
     136      50.0779      21.8107      12.5816      28.1513
     137      49.7946      21.7504      12.4662      28.0282
     138      49.7919      21.8108      12.5620      28.0792
     139      49.9353      21.8205      12.5240      28.1139
     140      49.8022      21.8353      12.5576      28.0936
     141      49.9573      21.7805      12.6030      28.1200
     142      50.1892      21.8925      12.5724      28.2282
     143      50.4008      21.8941      12.5728      28.2925
     144      50.5684      21.7900      12.5875      28.2576
     145      50.4544      21.7912      12.5663      28.2370
     146      50.5190      21.8599      12.5512      28.3009
     147      50.8483      21.7967      12.4584      28.3269
     148      50.6332      21.7592      12.4952      28.2424
     149      51.0254      21.7634      12.5208      28.3658
     150      51.4697      21.8445      12.5049      28.5154
     151      50.9734      21.7736      12.5089      28.3474
     152      50.7291      21.7663      12.4161      28.2816
     153      51.6072      21.8554      12.4066      28.5564
     154      51.9661      21.8410      12.4816      28.6652
