"","d_CD-CBM","Rg_CD","Rg_CBM","Rg_Global"
"1",39.2684,21.5667,12.5528,25.7452
"2",39.5122,21.6347,12.4751,25.8527
"3",40.1136,21.5251,12.5247,25.8691
"4",39.588,21.5844,12.5315,25.7955
"5",39.888,21.5584,12.5439,25.8728
"6",40.3226,21.5173,12.5264,25.8793
"7",40.2981,21.5828,12.6167,25.9817
"8",39.601,21.5547,12.5594,25.8057
"9",39.8905,21.5504,12.4501,25.8854
"10",39.1946,21.4965,12.5598,25.7021
"11",39.4242,21.546,12.5268,25.7671
"12",39.4799,21.5758,12.5575,25.815
"13",39.9141,21.5504,12.5089,25.8708
"14",39.8372,21.5557,12.564,25.8672
"15",39.7443,21.5049,12.581,25.8015
"16",39.7337,21.6388,12.5236,25.9036
"17",39.6933,21.471,12.5726,25.7721
"18",38.9105,21.4822,12.5915,25.6147
"19",38.5509,21.5391,12.5267,25.5745
"20",39.3037,21.4918,12.5544,25.7267
"21",39.5244,21.5302,12.5203,25.7854
"22",38.8268,21.5617,12.5757,25.6763
"23",38.8713,21.5793,12.5461,25.7377
"24",38.65,21.5913,12.5461,25.7106
"25",38.368,21.5913,12.5515,25.6363
"26",39.1551,21.4379,12.5898,25.6843
"27",39.6927,21.5205,12.5522,25.8413
"28",39.8835,21.6013,12.5373,25.9176
"29",39.1724,21.5862,12.4593,25.7339
"30",39.1104,21.5122,12.5903,25.6693
"31",39.1389,21.6897,12.5569,25.8118
"32",39.3042,21.6035,12.5617,25.7803
"33",39.9163,21.6118,12.5511,25.932
"34",39.6867,21.6154,12.6045,25.8651
"35",40.109,21.6239,12.6066,25.9318
"36",39.9938,21.6686,12.5935,25.9551
"37",39.8517,21.5783,12.4311,25.8529
"38",39.6578,21.611,12.5846,25.8414
"39",40.175,21.6845,12.5366,26.0166
"40",40.1832,21.6181,12.5561,26.0055
"41",40.4146,21.5617,12.5397,26.0356
"42",40.2498,21.6363,12.5754,26.0286
"43",40.0226,21.591,12.6076,25.9525
"44",39.9028,21.5839,12.6282,25.8932
"45",39.7662,21.5457,12.6653,25.8563
"46",39.5259,21.5497,12.5723,25.7918
"47",40.065,21.5285,12.5157,25.8998
"48",40.1669,21.5136,12.674,25.9294
"49",40.6173,21.5752,12.5645,26.0457
"50",40.4877,21.6918,12.6285,26.1287
"51",40.4659,21.5786,12.5831,26.0011
"52",40.3241,21.619,12.6273,26.0352
"53",40.3637,21.5859,12.6136,26.0085
"54",40.245,21.6106,12.694,25.9719
"55",40.8381,21.7087,12.6671,26.1838
"56",40.2528,21.4993,12.6644,25.9073
"57",39.5844,21.5718,12.6588,25.8184
"58",39.4792,21.5508,12.7559,25.7866
"59",39.575,21.5982,12.6398,25.816
"60",40.0209,21.6232,12.5761,25.9248
"61",40.1717,21.5656,12.5763,25.9598
"62",40.1766,21.6655,12.5837,26.0067
"63",39.8151,21.727,12.6201,26.0094
"64",40.3074,21.6197,12.6048,26.0348
"65",40.239,21.6269,12.535,25.9987
"66",40.6566,21.6068,12.59,26.0773
"67",40.0036,21.5926,12.639,25.9584
"68",40.4793,21.5514,12.6079,26.0099
"69",40.1383,21.5198,12.6391,25.9269
"70",40.0938,21.5166,12.6544,25.9222
"71",39.9127,21.536,12.6048,25.8907
"72",40.0528,21.4465,12.6152,25.8613
"73",40.7211,21.4979,12.7061,26.0261
"74",40.2593,21.5388,12.661,25.9408
"75",39.7589,21.4884,12.5054,25.7788
"76",39.5021,21.5903,12.5168,25.8127
"77",39.3132,21.5186,12.512,25.714
"78",39.9346,21.4573,12.5334,25.8458
"79",39.4002,21.4799,12.5444,25.8155
"80",40.0648,21.5376,12.6107,26.0117
"81",40.238,21.5591,12.5854,26.0601
"82",39.7228,21.4334,12.5725,25.8557
"83",39.7213,21.49,12.5711,25.861
"84",39.3113,21.5402,12.6044,25.8254
"85",39.6187,21.4814,12.5831,25.8491
"86",39.3978,21.4539,12.5671,25.7961
"87",39.3616,21.4384,12.5311,25.7769
"88",39.17,21.5147,12.5841,25.8096
"89",39.8822,21.403,12.5744,25.8764
"90",40.3743,21.4851,12.5794,26.0932
"91",39.9939,21.539,12.6599,26.0227
"92",39.4373,21.5097,12.5816,25.9157
"93",39.8476,21.4985,12.5226,25.922
"94",39.85,21.5177,12.5898,25.9195
"95",39.6989,21.5947,12.581,25.9304
"96",40.0238,21.6158,12.629,26.0666
"97",39.8664,21.6012,12.6708,25.9972
"98",39.4531,21.6039,12.4995,25.9044
"99",39.777,21.6265,12.5831,25.9889
"100",39.3727,21.5271,12.6772,25.8322
"101",39.6919,21.477,12.5337,25.8667
"102",39.8632,21.5782,12.585,25.961
"103",39.9076,21.5565,12.5797,25.9959
"104",39.8768,21.534,12.4691,25.9418
"105",39.1924,21.5259,12.6126,25.8614
"106",38.8463,21.5565,12.603,25.7789
"107",38.8752,21.5902,12.5452,25.7755
"108",38.6946,21.6019,12.571,25.7972
"109",38.4584,21.5225,12.5909,25.7128
"110",39.3672,21.5158,12.4932,25.8489
"111",40.3507,21.5055,12.5936,26.0625
"112",40.1845,21.5623,12.6126,26.0939
"113",40.9537,21.5797,12.6107,26.2669
"114",40.101,21.5435,12.5478,25.9961
"115",40.365,21.5311,12.6006,26.0566
"116",39.9965,21.5175,12.6313,25.9577
"117",39.5039,21.6092,12.6618,25.9644
"118",39.6923,21.5144,12.6182,25.9018
"119",39.7116,21.5364,12.5704,25.9345
"120",40.0545,21.5386,12.6013,25.9747
"121",39.9434,21.4945,12.5962,25.9181
"122",40.2744,21.5896,12.5691,26.0651
"123",40.1611,21.5502,12.6119,26.0211
"124",40.2701,21.5882,12.5634,26.0735
"125",40.4721,21.5181,12.5528,26.0181
"126",40.4524,21.4953,12.466,25.9825
"127",40.2541,21.6613,12.4853,26.0752
"128",39.8192,21.6534,12.5746,26.0081
"129",40.4251,21.5731,12.4725,26.0388
"130",40.2409,21.5431,12.4597,25.966
"131",40.4517,21.5585,12.5345,26.0239
"132",39.6028,21.5371,12.5257,25.8072
"133",39.8112,21.5654,12.4848,25.8769
"134",39.3573,21.49,12.5066,25.7486
"135",39.7873,21.5708,12.5664,25.9117
"136",39.9291,21.5569,12.4993,25.9039
"137",39.7907,21.5638,12.4842,25.8737
